Δ(秒),kind,h(秒),平均(bp),日クラスタ SE,naive SE,n,日数,r<0,r=0,r>0
0,清算,1,-0.566252,0.025070,0.016596,21198,456,0.486791,0.256486,0.256722
0,清算,5,-2.075815,0.061359,0.033949,21198,456,0.659921,0.071894,0.268186
0,清算,10,-3.015846,0.086817,0.044074,21198,456,0.696245,0.033682,0.270073
0,清算,30,-5.457355,0.142356,0.065573,21198,456,0.749127,0.008586,0.242287
0,清算,60,-6.800366,0.171035,0.081880,21198,456,0.737239,0.003868,0.258892
0,清算,300,-7.070601,0.183581,0.184890,21198,456,0.646618,0.000519,0.352863
0,清算,900,-7.430553,0.366558,0.294409,21198,456,0.620908,0.000283,0.378809
0,清算,3600,-7.190047,0.833165,0.539752,21196,456,0.600019,0.000283,0.399698
0,清算,14400,-7.421139,1.676059,0.937899,21195,456,0.567256,0.000094,0.432649
0,清算,28800,-7.972438,2.724654,1.256783,21183,455,0.555587,0.000189,0.444224
0,対照(i) 一様,1,-0.009195,0.005984,0.005890,21198,456,0.205585,0.596471,0.197943
0,対照(i) 一様,5,-0.010921,0.011484,0.012159,21198,456,0.327154,0.346070,0.326776
0,対照(i) 一様,10,-0.002941,0.015955,0.017180,21198,456,0.385319,0.228371,0.386310
0,対照(i) 一様,30,0.005026,0.027087,0.029302,21198,456,0.453675,0.091282,0.455043
0,対照(i) 一様,60,0.035083,0.038704,0.041073,21198,456,0.472922,0.044910,0.482168
0,対照(i) 一様,300,0.361370,0.082929,0.084131,21198,456,0.484999,0.005331,0.509671
0,対照(i) 一様,900,1.438573,0.195612,0.173299,21197,456,0.479738,0.000991,0.519272
0,対照(i) 一様,3600,5.506980,0.628346,0.400814,21193,456,0.460199,0.000236,0.539565
0,対照(i) 一様,14400,22.217000,1.466914,0.853184,21191,456,0.420226,0.000236,0.579538
0,対照(i) 一様,28800,36.172934,2.396610,1.205863,21188,456,0.403294,0.000047,0.596658
0,対照(ii) 薄さ合わせ,1,0.012327,0.007036,0.007342,18199,456,0.238694,0.519699,0.241607
0,対照(ii) 薄さ合わせ,5,-0.022189,0.016603,0.015916,18199,456,0.372108,0.261608,0.366284
0,対照(ii) 薄さ合わせ,10,-0.067488,0.023117,0.022965,18199,456,0.423869,0.161492,0.414638
0,対照(ii) 薄さ合わせ,30,-0.189640,0.039400,0.037884,18199,456,0.483433,0.052750,0.463817
0,対照(ii) 薄さ合わせ,60,-0.269566,0.051437,0.050553,18199,456,0.497610,0.028024,0.474367
0,対照(ii) 薄さ合わせ,300,-0.629601,0.097403,0.099943,18199,456,0.515028,0.002912,0.482059
0,対照(ii) 薄さ合わせ,900,0.071335,0.223055,0.217921,18199,456,0.497335,0.001319,0.501346
0,対照(ii) 薄さ合わせ,3600,3.628160,0.557507,0.455628,18198,456,0.484504,0.000385,0.515112
0,対照(ii) 薄さ合わせ,14400,10.896371,1.363242,0.919134,18194,456,0.460262,0.000000,0.539738
0,対照(ii) 薄さ合わせ,28800,16.971034,2.260713,1.322502,18184,456,0.457545,0.000000,0.542455
10,清算,1,-0.198892,0.012000,0.011976,21198,456,0.413530,0.299085,0.287386
10,清算,5,-0.866941,0.030808,0.026292,21198,456,0.551561,0.094867,0.353571
10,清算,10,-1.508171,0.049247,0.035469,21198,456,0.595952,0.046891,0.357156
10,清算,30,-3.184536,0.085728,0.053896,21198,456,0.656713,0.012218,0.331069
10,清算,60,-3.778464,0.104293,0.075708,21198,456,0.638032,0.004859,0.357109
10,清算,300,-4.063083,0.179000,0.183236,21198,456,0.605340,0.001132,0.393528
10,清算,900,-4.401011,0.377788,0.290981,21198,456,0.593971,0.000425,0.405604
10,清算,3600,-4.188780,0.853180,0.538110,21196,456,0.581902,0.000330,0.417768
10,清算,14400,-4.352635,1.689988,0.936661,21195,456,0.555461,0.000330,0.444209
10,清算,28800,-4.918751,2.743029,1.255735,21183,455,0.545815,0.000047,0.454138
10,対照(i) 一様,1,0.008385,0.005954,0.005995,21198,456,0.194547,0.597651,0.207803
10,対照(i) 一様,5,0.019760,0.013640,0.012202,21198,456,0.315973,0.352628,0.331399
10,対照(i) 一様,10,0.009142,0.017854,0.017134,21198,456,0.380083,0.234928,0.384989
10,対照(i) 一様,30,0.000872,0.028796,0.030045,21198,456,0.449901,0.094679,0.455420
10,対照(i) 一様,60,0.058333,0.043006,0.041308,21198,456,0.471743,0.046467,0.481791
10,対照(i) 一様,300,0.391993,0.081386,0.084871,21198,456,0.484291,0.004812,0.510897
10,対照(i) 一様,900,1.476286,0.198033,0.173871,21197,456,0.480162,0.001038,0.518800
10,対照(i) 一様,3600,5.541314,0.630450,0.400791,21193,456,0.461379,0.000566,0.538055
10,対照(i) 一様,14400,22.226409,1.462879,0.853349,21191,456,0.419565,0.000236,0.580199
10,対照(i) 一様,28800,36.155562,2.397866,1.205807,21188,456,0.404285,0.000142,0.595573
10,対照(ii) 薄さ合わせ,1,-0.019120,0.007406,0.007305,18199,456,0.251332,0.511457,0.237211
10,対照(ii) 薄さ合わせ,5,-0.058549,0.015191,0.015896,18199,456,0.381999,0.255783,0.362218
10,対照(ii) 薄さ合わせ,10,-0.084166,0.021210,0.022144,18199,456,0.435463,0.150887,0.413649
10,対照(ii) 薄さ合わせ,30,-0.166621,0.035489,0.037187,18199,456,0.479971,0.060498,0.459531
10,対照(ii) 薄さ合わせ,60,-0.244491,0.047396,0.050532,18199,456,0.502830,0.027749,0.469421
10,対照(ii) 薄さ合わせ,300,-0.543303,0.098371,0.101352,18199,456,0.510248,0.002857,0.486895
10,対照(ii) 薄さ合わせ,900,0.124749,0.222991,0.217598,18199,456,0.497994,0.000989,0.501017
10,対照(ii) 薄さ合わせ,3600,3.669891,0.553913,0.455483,18198,456,0.484724,0.000385,0.514892
10,対照(ii) 薄さ合わせ,14400,10.936417,1.358280,0.918733,18194,456,0.460097,0.000165,0.539738
10,対照(ii) 薄さ合わせ,28800,17.032882,2.258712,1.323360,18184,456,0.458150,0.000165,0.541685
60,清算,1,-0.005493,0.011302,0.011221,21198,456,0.348335,0.350410,0.301255
60,清算,5,-0.013202,0.021856,0.024262,21198,456,0.455515,0.126521,0.417964
60,清算,10,-0.004300,0.030854,0.035027,21198,456,0.487027,0.063166,0.449807
60,清算,30,0.021921,0.065644,0.060952,21198,456,0.510897,0.016936,0.472167
60,清算,60,0.024319,0.090006,0.085964,21198,456,0.514152,0.006604,0.479243
60,清算,300,-0.343178,0.230899,0.190629,21198,456,0.540145,0.001274,0.458581
60,清算,900,-0.741066,0.417931,0.291024,21198,456,0.553071,0.000755,0.446174
60,清算,3600,-0.312801,0.894802,0.539003,21196,456,0.555907,0.000283,0.443810
60,清算,14400,-0.621140,1.695481,0.933368,21195,456,0.541779,0.000094,0.458127
60,清算,28800,-1.187945,2.762146,1.252503,21183,455,0.535146,0.000047,0.464807
60,対照(i) 一様,1,0.006965,0.005630,0.005834,21198,456,0.198745,0.595575,0.205680
60,対照(i) 一様,5,0.029845,0.010261,0.012109,21198,456,0.320125,0.348288,0.331588
60,対照(i) 一様,10,0.029131,0.018419,0.017095,21198,456,0.379706,0.229786,0.390509
60,対照(i) 一様,30,0.071021,0.030615,0.029546,21198,456,0.446740,0.091377,0.461883
60,対照(i) 一様,60,0.081620,0.039207,0.040737,21198,456,0.470610,0.046891,0.482498
60,対照(i) 一様,300,0.453988,0.084064,0.088146,21198,456,0.486367,0.005189,0.508444
60,対照(i) 一様,900,1.506300,0.209880,0.176160,21197,456,0.479926,0.000944,0.519130
60,対照(i) 一様,3600,5.645268,0.653624,0.402788,21193,456,0.460293,0.000472,0.539235
60,対照(i) 一様,14400,22.148339,1.462889,0.852376,21191,456,0.419282,0.000189,0.580529
60,対照(i) 一様,28800,36.155560,2.394570,1.206998,21188,456,0.402917,0.000047,0.597036
60,対照(ii) 薄さ合わせ,1,0.002655,0.007614,0.007684,18199,456,0.240178,0.519644,0.240178
60,対照(ii) 薄さ合わせ,5,-0.027585,0.017715,0.016145,18199,456,0.371944,0.263916,0.364141
60,対照(ii) 薄さ合わせ,10,-0.040981,0.021357,0.022912,18199,456,0.418265,0.165339,0.416397
60,対照(ii) 薄さ合わせ,30,-0.089003,0.035518,0.037389,18199,456,0.481730,0.056706,0.461564
60,対照(ii) 薄さ合わせ,60,-0.169636,0.047170,0.048920,18199,456,0.494588,0.028683,0.476729
60,対照(ii) 薄さ合わせ,300,-0.329246,0.106225,0.105065,18199,456,0.508105,0.002418,0.489477
60,対照(ii) 薄さ合わせ,900,0.420060,0.229392,0.218440,18199,456,0.494313,0.001044,0.504643
60,対照(ii) 薄さ合わせ,3600,3.901849,0.558836,0.455785,18198,456,0.482471,0.000330,0.517200
60,対照(ii) 薄さ合わせ,14400,11.171685,1.358764,0.918178,18194,456,0.459877,0.000055,0.540068
60,対照(ii) 薄さ合わせ,28800,17.287385,2.254079,1.322506,18184,456,0.455620,0.000110,0.544270
