属性,群,下限,上限,m の群,T(秒),h(秒),群のプリント数,属性が欠測で群に入らないプリントの割合,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
print_notional,Q1(下位 3 分位),,341248.800000,Q2(中位 3 分位),60,60,5783,0.000000,18.640212,18.332261,5783,438,-0.377567,0.247279,0.215772,1.146021,-0.575904,-1.472484,-9.086502,6.397613,0.549369,5783,0.593291,5783,0.662286,5783,0
print_notional,Q1(下位 3 分位),,341248.800000,Q2(中位 3 分位),60,300,5783,0.000000,18.640212,18.332261,5783,438,-0.760743,0.570740,0.435910,1.309308,-2.231747,-3.539545,-18.036350,12.589649,0.559744,5783,0.593291,5783,0.662286,5783,0
print_notional,Q1(下位 3 分位),,341248.800000,Q2(中位 3 分位),60,900,5783,0.000000,18.640212,18.332261,5783,438,-1.026913,1.010590,0.683791,1.477923,-4.349206,-6.606288,-27.705976,19.219151,0.576690,5783,0.593291,5783,0.662286,5783,0
print_notional,Q1(下位 3 分位),,341248.800000,Q3(上位 3 分位),60,60,5242,0.000000,53.022189,38.652884,5242,395,-0.323691,2.001817,0.742843,2.694803,-4.567090,-3.866961,-18.503917,10.620675,0.574781,5242,0.743800,5242,0.795116,5242,0
print_notional,Q1(下位 3 分位),,341248.800000,Q3(上位 3 分位),60,300,5242,0.000000,53.022189,38.652884,5242,395,-5.498354,2.464970,1.142652,2.157236,-9.945658,-9.273300,-32.927422,17.332776,0.599771,5242,0.743800,5242,0.795116,5242,0
print_notional,Q1(下位 3 分位),,341248.800000,Q3(上位 3 分位),60,900,5242,0.000000,53.022189,38.652884,5242,395,-7.786207,2.796392,1.437122,1.945828,-14.002070,-12.445449,-48.703352,28.099611,0.587753,5242,0.743800,5242,0.795116,5242,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q1(下位 3 分位),60,60,5923,0.000000,7.233022,7.955760,5923,450,0.160445,0.220044,0.194310,1.132441,0.017716,-0.423644,-5.335086,4.396615,0.525409,5923,0.422928,5923,0.505656,5923,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q1(下位 3 分位),60,300,5923,0.000000,7.233022,7.955760,5923,450,-1.062974,0.403676,0.334145,1.208087,-1.534015,-2.071701,-12.449901,8.236483,0.562553,5923,0.422928,5923,0.505656,5923,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q1(下位 3 分位),60,900,5923,0.000000,7.233022,7.955760,5923,450,-1.645218,0.722799,0.536005,1.348494,-3.033932,-4.100184,-19.557218,12.917248,0.570994,5923,0.422928,5923,0.505656,5923,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q2(中位 3 分位),60,60,5776,0.000000,18.615445,18.240031,5776,423,-0.469990,0.272486,0.219836,1.239497,-0.579423,-1.318297,-8.703903,6.539922,0.550381,5776,0.581717,5776,0.658414,5776,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q2(中位 3 分位),60,300,5776,0.000000,18.615445,18.240031,5776,423,-1.520505,0.614564,0.426932,1.439488,-2.680507,-4.002707,-17.898765,12.617719,0.569079,5776,0.581717,5776,0.658414,5776,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q2(中位 3 分位),60,900,5776,0.000000,18.615445,18.240031,5776,423,-0.660919,1.202368,0.679692,1.768988,-3.919660,-5.845459,-28.110272,19.917986,0.568213,5776,0.581717,5776,0.658414,5776,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q3(上位 3 分位),60,60,5634,0.000000,54.286575,39.247236,5634,391,-0.078322,2.604787,0.713544,3.650492,-4.581959,-4.083417,-18.761715,10.978722,0.577387,5634,0.736599,5634,0.783280,5634,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q3(上位 3 分位),60,300,5634,0.000000,54.286575,39.247236,5634,391,-6.303820,2.617107,1.099320,2.380660,-10.008230,-8.551353,-35.553309,18.197060,0.592119,5634,0.736599,5634,0.783280,5634,0
print_notional,Q2(中位 3 分位),341248.800000,2176296.500000,Q3(上位 3 分位),60,900,5634,0.000000,54.286575,39.247236,5634,391,-8.761598,2.870170,1.346642,2.131353,-13.889956,-12.258660,-49.335996,28.382210,0.583067,5634,0.736599,5634,0.783280,5634,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q1(下位 3 分位),60,60,5102,0.000000,6.968208,8.225493,5102,444,-0.134042,0.235742,0.194510,1.211981,0.048455,-0.570581,-6.047415,4.489878,0.529792,5102,0.444924,5102,0.530968,5102,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q1(下位 3 分位),60,300,5102,0.000000,6.968208,8.225493,5102,444,-1.600827,0.860206,0.457383,1.880714,-1.704327,-2.212120,-13.539492,9.497343,0.557624,5102,0.444924,5102,0.530968,5102,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q1(下位 3 分位),60,900,5102,0.000000,6.968208,8.225493,5102,444,-1.924012,0.994023,0.672266,1.478617,-2.784859,-4.109262,-21.933301,14.774154,0.559388,5102,0.444924,5102,0.530968,5102,0
print_notional,Q3(上位 3 分位),2176296.500000,,Q2(中位 3 分位),60,60,5774,0.000000,18.793202,18.513453,5774,428,-0.460101,0.249587,0.209035,1.193996,-0.887393,-1.340505,-9.224197,6.763922,0.551957,5774,0.580360,5774,0.647385,5774,0
