区分,種,T(秒),量,群,n,母数,割合,p10,p25,p50,p75,p90,p99,最大,平均,中央値,r(t₀ 基準・主)平均,r(ts 基準・併記)平均,2 つの起点で値が違う行,m の中央値,k の中央値,r(60) の中央値,相関
診断(束の位置),清算のプリント,—,r(h) 平均(bp) h=900,最後,21198,21198,—,—,—,—,—,—,—,—,—,-8.008084,-7.430553,-7.430173,889,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=1,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,0.148596,0.136746,4993,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=5,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-0.064176,-0.061849,4063,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=10,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-0.260792,-0.262660,3828,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=30,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-0.479380,-0.482491,3462,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=60,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-0.396169,-0.397680,3270,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=300,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-2.996998,-2.993595,2588,—,—,—,—
起点の取り方,清算のプリント,—,r(h) 平均(bp) h=900,全プリント,52000,52000,—,—,—,—,—,—,—,—,—,—,-4.058052,-4.055693,2249,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,|c_t − m_p|(bp),取れたプリント,18943,52000,—,0.000554,0.003122,0.018053,0.119496,0.475197,2.019845,120.636633,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,候補の区間の変位 c_t(bp),取れたプリント,18943,52000,—,—,—,—,—,—,—,—,4.569644,4.050243,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,対照の掃き相当(候補時刻をまたぐ変位、bp),取れたプリント,18943,52000,—,—,—,—,—,—,—,—,0.034792,0.000000,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,対照 (c') が取れなかったプリント,全体,33057,52000,0.635712,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,対照 (c') が取れなかったプリント,SELL,20850,32061,0.650323,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,対照 (c') が取れなかったプリント,BUY,12207,19939,0.612217,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 1 [−∞, 1.9676)",1036,5200,0.199231,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 2 [1.9676, 3.5280)",1271,5200,0.244423,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 3 [3.5280, 4.9382)",1724,5200,0.331538,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 4 [4.9382, 6.4029)",2440,5200,0.469231,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 5 [6.4029, 7.9924)",3214,5200,0.618077,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 6 [7.9924, 10.0067)",3868,5200,0.743846,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 7 [10.0067, 12.7007)",4381,5200,0.842500,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 8 [12.7007, 16.7673)",4847,5200,0.932115,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 9 [16.7673, 25.5494)",5091,5200,0.979038,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,m の 10 分位帯ごとに取れなかった割合,"帯 10 [25.5494, +∞)",5185,5200,0.997115,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,10,取れた / 取れなかったプリントの中央値,取れたプリント,18943,52000,—,—,—,—,—,—,—,—,—,—,—,—,—,4.086011,0.000000,-0.609070,—
対照 (c'),対照(c') 直前の値動き合わせ,10,取れた / 取れなかったプリントの中央値,取れなかったプリント,33057,52000,—,—,—,—,—,—,—,—,—,—,—,—,—,11.765229,0.014975,-2.263166,—
対照 (c'),対照(c') 直前の値動き合わせ,10,日のプリント数 と その日の 1 件あたり取れた対照の数 の相関,日を単位に,456,456,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-0.789033
対照 (c'),対照(c') 直前の値動き合わせ,60,|c_t − m_p|(bp),取れたプリント,16943,52000,—,0.001436,0.005659,0.030140,0.181579,0.787599,3.348943,332.943946,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,候補の区間の変位 c_t(bp),取れたプリント,16943,52000,—,—,—,—,—,—,—,—,9.697994,8.833828,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,対照の掃き相当(候補時刻をまたぐ変位、bp),取れたプリント,16943,52000,—,—,—,—,—,—,—,—,0.009872,0.000000,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,対照 (c') が取れなかったプリント,全体,35057,52000,0.674173,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,対照 (c') が取れなかったプリント,SELL,22230,32061,0.693366,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,対照 (c') が取れなかったプリント,BUY,12827,19939,0.643312,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 1 [−∞, 5.9043)",582,5200,0.111923,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 2 [5.9043, 8.9996)",1164,5200,0.223846,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 3 [8.9996, 11.8865)",1968,5200,0.378462,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 4 [11.8865, 14.9461)",2960,5200,0.569231,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 5 [14.9461, 18.3589)",3781,5200,0.727115,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 6 [18.3589, 22.4960)",4430,5200,0.851923,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 7 [22.4960, 27.9511)",4794,5200,0.921923,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 8 [27.9511, 35.8069)",5029,5200,0.967115,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 9 [35.8069, 50.8367)",5150,5200,0.990385,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 10 [50.8367, +∞)",5199,5200,0.999808,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
対照 (c'),対照(c') 直前の値動き合わせ,60,取れた / 取れなかったプリントの中央値,取れたプリント,16943,52000,—,—,—,—,—,—,—,—,—,—,—,—,—,8.870655,0.000000,-0.538728,—
対照 (c'),対照(c') 直前の値動き合わせ,60,取れた / 取れなかったプリントの中央値,取れなかったプリント,35057,52000,—,—,—,—,—,—,—,—,—,—,—,—,—,25.221162,0.014970,-2.213565,—
対照 (c'),対照(c') 直前の値動き合わせ,60,日のプリント数 と その日の 1 件あたり取れた対照の数 の相関,日を単位に,456,456,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-0.753438
