k の群,m の群,T(秒),h(秒),群のプリント数,うち k = 0 ちょうどの数,k 平均,k 中央値,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
K+2(Q2(中位 3 分位)、k > 0),Q1(下位 3 分位),60,300,3314,0,0.036468,0.032565,7.229790,7.893755,3314,428,-1.239662,0.483372,0.385429,1.254115,-1.650303,-2.182914,-11.604197,7.338942,0.569704,3314,0.422752,3314,0.522631,3314,0
K+2(Q2(中位 3 分位)、k > 0),Q1(下位 3 分位),60,900,3314,0,0.036468,0.032565,7.229790,7.893755,3314,428,0.381407,1.238841,0.786185,1.575763,-1.288135,-3.533977,-18.143148,12.868263,0.564876,3314,0.422752,3314,0.522631,3314,0
K+2(Q2(中位 3 分位)、k > 0),Q2(中位 3 分位),60,60,3048,0,0.036691,0.032691,18.517485,18.068362,3048,396,-1.116622,0.327072,0.290562,1.125654,-0.515928,-2.356677,-9.442730,5.323226,0.589239,3048,0.595144,3048,0.656496,3048,0
K+2(Q2(中位 3 分位)、k > 0),Q2(中位 3 分位),60,300,3048,0,0.036691,0.032691,18.517485,18.068362,3048,396,-2.179947,0.626520,0.553445,1.132036,-2.945436,-4.783767,-18.078116,9.506578,0.583661,3048,0.595144,3048,0.656496,3048,0
K+2(Q2(中位 3 分位)、k > 0),Q2(中位 3 分位),60,900,3048,0,0.036691,0.032691,18.517485,18.068362,3048,396,-1.536905,1.288135,0.882830,1.459098,-4.150246,-6.767504,-26.844130,16.800569,0.587927,3048,0.595144,3048,0.656496,3048,0
K+2(Q2(中位 3 分位)、k > 0),Q3(上位 3 分位),60,60,2645,0,0.038339,0.033613,54.094353,39.669697,2645,339,3.712857,5.109264,1.246633,4.098450,-3.618176,-5.144391,-20.205357,9.710495,0.593573,2645,0.767486,2645,0.802268,2645,0
K+2(Q2(中位 3 分位)、k > 0),Q3(上位 3 分位),60,300,2645,0,0.038339,0.033613,54.094353,39.669697,2645,339,-1.142301,6.016196,1.839152,3.271179,-11.040127,-11.707989,-34.565217,13.687048,0.629868,2645,0.767486,2645,0.802268,2645,0
K+2(Q2(中位 3 分位)、k > 0),Q3(上位 3 分位),60,900,2645,0,0.038339,0.033613,54.094353,39.669697,2645,339,-6.088784,3.671025,1.843731,1.991085,-15.566099,-14.524735,-46.249358,20.468736,0.618147,2645,0.767486,2645,0.802268,2645,0
K+3(Q3(上位 3 分位)、k > 0),Q1(下位 3 分位),60,60,2239,0,0.440741,0.247756,5.402070,8.054200,2239,393,0.821041,0.422537,0.455948,0.926721,0.502460,-0.221032,-5.912701,5.373096,0.510942,2239,0.461367,2239,0.544886,2239,0
K+3(Q3(上位 3 分位)、k > 0),Q1(下位 3 分位),60,300,2239,0,0.440741,0.247756,5.402070,8.054200,2239,393,-0.479063,1.304299,0.864449,1.508821,-0.268186,-1.339683,-13.257019,10.677106,0.538633,2239,0.461367,2239,0.544886,2239,0
K+3(Q3(上位 3 分位)、k > 0),Q1(下位 3 分位),60,900,2239,0,0.440741,0.247756,5.402070,8.054200,2239,393,-2.302370,1.394309,1.054169,1.322662,-1.428081,-3.254289,-21.144185,16.761717,0.551586,2239,0.461367,2239,0.544886,2239,0
K+3(Q3(上位 3 分位)、k > 0),Q2(中位 3 分位),60,60,2622,0,0.522129,0.295146,18.896528,18.662267,2622,371,0.572993,0.377652,0.340878,1.107882,-0.155271,-0.960356,-9.095632,7.831236,0.534706,2622,0.628528,2622,0.694889,2622,0
K+3(Q3(上位 3 分位)、k > 0),Q2(中位 3 分位),60,300,2622,0,0.522129,0.295146,18.896528,18.662267,2622,371,-0.613205,0.937638,0.760115,1.233547,-2.891712,-3.479434,-19.970049,13.901890,0.559497,2622,0.628528,2622,0.694889,2622,0
K+3(Q3(上位 3 分位)、k > 0),Q2(中位 3 分位),60,900,2622,0,0.522129,0.295146,18.896528,18.662267,2622,371,-0.723333,1.663607,1.108732,1.500459,-5.126386,-6.236156,-31.863436,21.939941,0.557590,2622,0.628528,2622,0.694889,2622,0
K+3(Q3(上位 3 分位)、k > 0),Q3(上位 3 分位),60,60,4147,0,0.924299,0.440848,62.539151,44.332294,4147,363,-2.754141,1.775217,0.901726,1.968686,-6.537502,-5.234288,-22.735874,11.848694,0.587654,4147,0.781047,4147,0.827104,4147,0
K+3(Q3(上位 3 分位)、k > 0),Q3(上位 3 分位),60,300,4147,0,0.924299,0.440848,62.539151,44.332294,4147,363,-11.206767,2.370800,1.341792,1.766891,-13.301339,-11.697701,-40.252463,18.495856,0.607186,4147,0.781047,4147,0.827104,4147,0
K+3(Q3(上位 3 分位)、k > 0),Q3(上位 3 分位),60,900,4147,0,0.924299,0.440848,62.539151,44.332294,4147,363,-14.324248,3.687700,1.792509,2.057285,-17.347621,-14.676856,-58.689115,29.714986,0.595852,4147,0.781047,4147,0.827104,4147,0
