T(秒),m の帯,帯の下限(bp),帯の上限(bp),h(秒),帯のプリント数,m 平均,m 中央値,k 平均,k 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
10,1,−∞,1.967588,1,5200,0.162663,0.995729,0.064188,0.000000,5200,450,0.164957,0.050792,0.049956,1.016728,0.136230,0.000000,-0.016376,0.028949,0.288269,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,5,5200,0.162663,0.995729,0.064188,0.000000,5200,450,0.403680,0.084206,0.089597,0.939828,0.318027,0.000000,-0.758220,1.083636,0.407885,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,10,5200,0.162663,0.995729,0.064188,0.000000,5200,450,0.370404,0.122151,0.127045,0.961479,0.306893,0.000000,-1.294529,1.613867,0.449038,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,30,5200,0.162663,0.995729,0.064188,0.000000,5200,450,0.177331,0.232977,0.274375,0.849120,0.440099,0.000000,-3.001139,3.051408,0.490192,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,60,5200,0.162663,0.995729,0.064188,0.000000,5200,450,0.091060,0.393352,0.387769,1.014398,0.316263,-0.014715,-4.568238,4.432565,0.500769,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,300,5200,0.162663,0.995729,0.064188,0.000000,5200,450,-1.948305,0.752428,0.503757,1.493632,-0.936044,-1.377695,-10.986355,8.686909,0.545000,5200,0.398654,5200,0.491154,5200,0
10,1,−∞,1.967588,900,5200,0.162663,0.995729,0.064188,0.000000,5200,450,-3.233840,0.930577,0.745255,1.248670,-2.909123,-3.568925,-19.951880,13.299078,0.567885,5200,0.398654,5200,0.491154,5200,0
10,2,1.967588,3.527995,1,5200,2.770088,2.791373,0.033732,0.000000,5200,448,0.095761,0.022535,0.021816,1.032979,0.062461,0.000000,-0.029529,0.202127,0.329808,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,5,5200,2.770088,2.791373,0.033732,0.000000,5200,448,0.176968,0.056767,0.053334,1.064359,0.113391,0.000000,-1.350390,1.137545,0.480577,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,10,5200,2.770088,2.791373,0.033732,0.000000,5200,448,0.118947,0.083286,0.077491,1.074789,0.032092,-0.021624,-2.144749,1.718300,0.510385,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,30,5200,2.770088,2.791373,0.033732,0.000000,5200,448,-0.001376,0.131920,0.128347,1.027837,-0.141103,-0.341924,-4.032097,3.228303,0.532500,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,60,5200,2.770088,2.791373,0.033732,0.000000,5200,448,0.147787,0.180473,0.179279,1.006656,-0.171003,-0.503304,-5.836226,4.643184,0.529038,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,300,5200,2.770088,2.791373,0.033732,0.000000,5200,448,-0.736265,0.396355,0.339724,1.166696,-1.610244,-2.050752,-12.392909,9.020178,0.552308,5200,0.424231,5200,0.505192,5200,0
10,2,1.967588,3.527995,900,5200,2.770088,2.791373,0.033732,0.000000,5200,448,-0.586484,0.708720,0.572096,1.238813,-2.342866,-3.723838,-19.542470,14.515328,0.557885,5200,0.424231,5200,0.505192,5200,0
10,3,3.527995,4.938159,1,5200,4.239102,4.242380,0.033281,0.000000,5200,439,0.095427,0.025814,0.024306,1.062055,0.078767,0.000000,-0.391092,0.393411,0.386154,5200,0.474231,5200,0.560577,5200,0
10,3,3.527995,4.938159,5,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.073387,0.062322,0.057434,1.085102,-0.074485,-0.038367,-1.865925,1.180225,0.535192,5200,0.474231,5200,0.560577,5200,0
10,3,3.527995,4.938159,10,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.126372,0.083722,0.083132,1.007101,-0.112782,-0.347519,-2.634684,1.830725,0.548654,5200,0.474231,5200,0.560577,5200,0
10,3,3.527995,4.938159,30,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.157706,0.150626,0.147521,1.021051,-0.300484,-0.620644,-4.709309,3.440017,0.545962,5200,0.474231,5200,0.560577,5200,0
10,3,3.527995,4.938159,60,5200,4.239102,4.242380,0.033281,0.000000,5200,439,-0.178901,0.214620,0.224099,0.957700,-0.530764,-0.769014,-6.600107,4.866615,0.536731,5200,0.474231,5200,0.560577,5200,0
