d の群,m の群,T(秒),h(秒),群のプリント数,d 平均,d 中央値,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
d = 1〜2,Q1(下位 3 分位),60,300,5576,1.364060,1.000000,7.500665,8.166027,5576,448,-0.553424,0.408596,0.330129,1.237687,-1.355358,-2.408140,-12.413206,8.118887,0.570481,5576,0.447991,5576,0.546628,5576,0
d = 1〜2,Q1(下位 3 分位),60,900,5576,1.364060,1.000000,7.500665,8.166027,5576,448,-0.795585,0.667173,0.513339,1.299675,-2.337507,-3.702288,-19.767547,13.725632,0.561872,5576,0.447991,5576,0.546628,5576,0
d = 1〜2,Q2(中位 3 分位),60,60,5491,1.419960,1.000000,18.496983,18.174112,5491,438,-0.146790,0.228403,0.202222,1.129465,-0.442514,-1.366785,-8.196131,6.329056,0.550537,5491,0.555636,5491,0.633582,5491,0
d = 1〜2,Q2(中位 3 分位),60,300,5491,1.419960,1.000000,18.496983,18.174112,5491,438,0.057229,0.505233,0.431269,1.171504,-1.236320,-3.058667,-15.776274,12.888815,0.556729,5491,0.555636,5491,0.633582,5491,0
d = 1〜2,Q2(中位 3 分位),60,900,5491,1.419960,1.000000,18.496983,18.174112,5491,438,-0.369899,0.880208,0.621243,1.416848,-3.343503,-6.004116,-25.844778,18.777819,0.573666,5491,0.555636,5491,0.633582,5491,0
d = 1〜2,Q3(上位 3 分位),60,60,3315,1.480845,1.000000,39.935988,34.870717,3315,378,-0.347426,0.571273,0.435970,1.310349,-1.340347,-2.159548,-13.594037,10.115562,0.553846,3315,0.647059,3315,0.708899,3315,0
d = 1〜2,Q3(上位 3 分位),60,300,3315,1.480845,1.000000,39.935988,34.870717,3315,378,-0.582457,1.017641,0.806489,1.261816,-3.459194,-3.819334,-23.663249,18.372148,0.554751,3315,0.647059,3315,0.708899,3315,0
d = 1〜2,Q3(上位 3 分位),60,900,3315,1.480845,1.000000,39.935988,34.870717,3315,378,-2.471307,1.606374,1.184103,1.356617,-6.310096,-7.485637,-37.115133,27.488468,0.559879,3315,0.647059,3315,0.708899,3315,0
d ≥ 3,Q1(下位 3 分位),60,60,4138,6.169889,4.000000,7.096408,8.757824,4138,408,-0.620622,0.383494,0.290703,1.319195,-0.889734,-1.382887,-8.710696,6.340448,0.548574,4138,0.630256,4138,0.707347,4138,0
d ≥ 3,Q1(下位 3 分位),60,300,4138,6.169889,4.000000,7.096408,8.757824,4138,408,-4.095451,1.079041,0.591110,1.825450,-4.700649,-4.318789,-19.211695,11.082933,0.581440,4138,0.630256,4138,0.707347,4138,0
d ≥ 3,Q1(下位 3 分位),60,900,4138,6.169889,4.000000,7.096408,8.757824,4138,408,-4.264560,1.746438,0.938357,1.861167,-6.795166,-7.000125,-28.921081,17.268338,0.580715,4138,0.630256,4138,0.707347,4138,0
d ≥ 3,Q2(中位 3 分位),60,60,7244,6.698647,5.000000,19.193177,18.996245,7244,408,-1.037323,0.347884,0.220972,1.574332,-1.175181,-1.901976,-11.126410,7.475034,0.557151,7244,0.702374,7244,0.764909,7244,0
d ≥ 3,Q2(中位 3 分位),60,300,7244,6.698647,5.000000,19.193177,18.996245,7244,408,-2.927509,0.891702,0.454267,1.962945,-5.110882,-6.705045,-23.082209,14.080661,0.590144,7244,0.702374,7244,0.764909,7244,0
d ≥ 3,Q2(中位 3 分位),60,900,7244,6.698647,5.000000,19.193177,18.996245,7244,408,-2.088140,1.698608,0.718101,2.365415,-7.851849,-8.863045,-34.666567,22.094133,0.584346,7244,0.702374,7244,0.764909,7244,0
d ≥ 3,Q3(上位 3 分位),60,60,12195,11.442640,8.000000,60.570965,42.781292,12195,397,-0.987396,2.897902,0.560450,5.170666,-6.704634,-5.496001,-22.546914,11.696452,0.588602,12195,0.799672,12195,0.839770,12195,0
d ≥ 3,Q3(上位 3 分位),60,300,12195,11.442640,8.000000,60.570965,42.781292,12195,397,-9.484824,2.974035,0.839278,3.543562,-14.010278,-13.348248,-40.652637,17.424349,0.623370,12195,0.799672,12195,0.839770,12195,0
d ≥ 3,Q3(上位 3 分位),60,900,12195,11.442640,8.000000,60.570965,42.781292,12195,397,-12.943789,3.778051,1.022968,3.693225,-20.326184,-17.105305,-57.128493,27.359609,0.607626,12195,0.799672,12195,0.839770,12195,0
