symbol,n_rows,first_date,last_date,status
6594.T,6394,2001-01-04,2026-09-04,ok
6645.T,6394,2001-01-04,2026-09-04,ok
6674.T,6656,2000-01-04,2026-09-04,ok
6703.T,6656,2000-01-04,2026-09-04,ok
6723.T,5729,2003-07-24,2026-09-04,ok
6724.T,6397,2001-01-01,2026-09-04,ok
6753.T,6656,2000-01-04,2026-09-04,ok
6762.T,6656,2000-01-04,2026-09-04,ok
6764.T,0,,,no timestamps
6767.T,0,,,no timestamps
6770.T,6656,2000-01-04,2026-09-04,ok
6773.T,0,,,HTTP Error 404: Not Found
6781.T,0,,,no timestamps
6796.T,0,,,HTTP Error 404: Not Found
6857.T,6656,2000-01-04,2026-09-04,ok
6861.T,6397,2001-01-01,2026-09-04,ok
6920.T,4066,2010-02-22,2026-09-04,ok
6933.T,0,,,no timestamps
6952.T,6656,2000-01-04,2026-09-04,ok
6954.T,6656,2000-01-04,2026-09-04,ok
6963.T,6394,2001-01-04,2026-09-04,ok
6971.T,6656,2000-01-04,2026-09-04,ok
6976.T,6656,2000-01-04,2026-09-04,ok
6981.T,6394,2001-01-04,2026-09-04,ok
6988.T,6397,2001-01-01,2026-09-04,ok
6991.T,0,,,no timestamps
7003.T,6656,2000-01-04,2026-09-04,ok
7102.T,6397,2001-01-01,2026-09-04,ok
7186.T,2569,2016-04-01,2026-09-04,ok
7205.T,0,,,HTTP Error 404: Not Found
7211.T,6656,2000-01-04,2026-09-04,ok
7231.T,6397,2001-01-01,2026-09-04,ok
7270.T,6656,2000-01-04,2026-09-04,ok
7272.T,6397,2001-01-01,2026-09-04,ok
7453.T,6397,2001-01-01,2026-09-04,ok
7532.T,6397,2001-01-01,2026-09-04,ok
7733.T,6656,2000-01-04,2026-09-04,ok
7735.T,6397,2001-01-01,2026-09-04,ok
7741.T,6397,2001-01-01,2026-09-04,ok
7762.T,6656,2000-01-04,2026-09-04,ok
7832.T,6397,2001-01-01,2026-09-04,ok
7974.T,6394,2001-01-04,2026-09-04,ok
8003.T,0,,,no timestamps
8015.T,6656,2000-01-04,2026-09-04,ok
8028.T,0,,,HTTP Error 404: Not Found
8035.T,6656,2000-01-04,2026-09-04,ok
8061.T,6397,2001-01-01,2026-09-04,ok
8063.T,0,,,no timestamps
8088.T,6397,2001-01-01,2026-09-04,ok
8183.T,0,,,no timestamps
8231.T,0,,,no timestamps
8232.T,0,,,no timestamps
8233.T,6656,2000-01-04,2026-09-04,ok
8236.T,0,,,no timestamps
8238.T,0,,,no timestamps
8253.T,6656,2000-01-04,2026-09-04,ok
8264.T,0,,,no timestamps
8267.T,6656,2000-01-04,2026-09-04,ok
8270.T,0,,,no timestamps
8302.T,0,,,HTTP Error 404: Not Found
8303.T,5047,2004-02-19,2026-09-04,ok
8304.T,4866,2006-11-14,2026-09-04,ok
8305.T,0,,,no timestamps
8306.T,5159,2005-09-29,2026-09-04,ok
8307.T,0,,,no timestamps
8308.T,6656,2000-01-04,2026-09-04,ok
8309.T,6397,2001-01-01,2026-09-04,ok
8311.T,0,,,HTTP Error 404: Not Found
8314.T,0,,,HTTP Error 404: Not Found
8315.T,0,,,HTTP Error 404: Not Found
8316.T,6656,2000-01-04,2026-09-04,ok
8317.T,0,,,HTTP Error 404: Not Found
8318.T,0,,,no timestamps
8319.T,0,,,HTTP Error 404: Not Found
8320.T,0,,,HTTP Error 404: Not Found
8321.T,0,,,HTTP Error 404: Not Found
8322.T,0,,,no timestamps
8331.T,6656,2000-01-04,2026-09-04,ok
8332.T,0,,,no timestamps
8354.T,6397,2001-01-01,2026-09-04,ok
8355.T,0,,,HTTP Error 404: Not Found
8401.T,0,,,HTTP Error 404: Not Found
8402.T,0,,,HTTP Error 404: Not Found
8403.T,0,,,no timestamps
8404.T,0,,,no timestamps
8407.T,0,,,HTTP Error 404: Not Found
8411.T,5825,2003-03-12,2026-09-04,ok
8511.T,6397,2001-01-01,2026-09-04,ok
8583.T,0,,,no timestamps
8591.T,6397,2001-01-01,2026-09-04,ok
8601.T,6656,2000-01-04,2026-09-04,ok
8603.T,0,,,no timestamps
8606.T,0,,,no timestamps
8628.T,6245,2001-08-01,2026-09-04,ok
8630.T,4039,2010-04-01,2026-09-04,ok
8697.T,4419,2008-09-05,2026-09-04,ok
8725.T,4528,2008-04-01,2026-09-04,ok
8729.T,229,2025-09-29,2026-09-04,ok
8750.T,4039,2010-04-01,2026-09-04,ok
8751.T,0,,,no timestamps
8752.T,0,,,no timestamps
8753.T,0,,,HTTP Error 404: Not Found
8755.T,0,,,no timestamps
8766.T,6656,2000-01-04,2026-09-04,ok
8795.T,5549,2004-04-01,2026-09-04,ok
8803.T,6656,2000-01-04,2026-09-04,ok
8804.T,6397,2001-01-01,2026-09-04,ok
8815.T,0,,,no timestamps
8830.T,6656,2000-01-04,2026-09-04,ok
9006.T,6397,2001-01-01,2026-09-04,ok
9020.T,6656,2000-01-04,2026-09-04,ok
9021.T,6656,2000-01-04,2026-09-04,ok
9022.T,6394,2001-01-04,2026-09-04,ok
9062.T,0,,,HTTP Error 404: Not Found
9064.T,6656,2000-01-04,2026-09-04,ok
9065.T,6397,2001-01-01,2026-09-04,ok
9147.T,1143,2022-01-04,2026-09-04,ok
9201.T,6656,2000-01-04,2026-09-04,ok
9205.T,0,,,no timestamps
9301.T,6656,2000-01-04,2026-09-04,ok
9302.T,6397,2001-01-01,2026-09-04,ok
9412.T,6502,2000-08-07,2026-09-04,ok
9431.T,0,,,HTTP Error 404: Not Found
9433.T,6656,2000-01-04,2026-09-04,ok
9434.T,1880,2018-12-19,2026-09-04,ok
9437.T,0,,,HTTP Error 404: Not Found
9602.T,6656,2000-01-04,2026-09-04,ok
9605.T,6397,2001-01-01,2026-09-04,ok
9613.T,0,,,HTTP Error 404: Not Found
9681.T,0,,,HTTP Error 404: Not Found
9735.T,6656,2000-01-04,2026-09-04,ok
9737.T,0,,,no timestamps
9766.T,6656,2000-01-04,2026-09-04,ok
9843.T,5921,2002-10-29,2026-09-04,ok
9983.T,6656,2000-01-04,2026-09-04,ok
9984.T,6656,2000-01-04,2026-09-04,ok
^N225,6534,2000-01-04,2026-09-04,ok
