観測量,群,h,n1,n2,実群,対照(i),対照(ii),差(ii),差(i),対照(i)SE,走行,対照(ii)の軸の作り方,MDE(参考。族の α に入らない),MDEとの比較,検出力,隣の分位
reach_back_vwap_1m,全体,1,15143,13974,0.029254,0.016677,0.017819,0.011436,0.012577,0.001026,gap180_w24,own,,,,
reach_back_vwap_1m,A1_Q1,1,5053,3905,0.010093,0.001488,0.003841,0.006252,0.008605,0.001052,gap180_w24,own,,,,Q2:差=0.010048
reach_back_vwap_1m,A1_Q2,1,5046,5025,0.024178,0.010292,0.014129,0.010048,0.013886,0.001463,gap180_w24,own,,,,Q1:差=0.006252 Q3:差=0.021213
reach_back_vwap_1m,A1_Q3,1,5044,5044,0.053529,0.022035,0.032316,0.021213,0.031494,0.001507,gap180_w24,own,,,,Q2:差=0.010048
reach_back_vwap_1m,A2_Q1,1,5048,6917,0.042591,,0.023999,0.018592,,,gap180_w24,partner_sign,,,,Q2:差=0.021741
reach_back_vwap_1m,A2_Q2,1,5047,3463,0.040222,,0.018481,0.021741,,,gap180_w24,partner_sign,,,,Q1:差=0.018592 Q3:差=-0.000334
reach_back_vwap_1m,A2_Q3,1,5048,3594,0.004952,,0.005287,-0.000334,,,gap180_w24,partner_sign,,,,Q2:差=0.021741
reach_back_vwap_1m,A3_Q1,1,5048,6219,0.039620,,0.010613,0.029007,,,gap180_w24,partner_sign,,,,Q2:差=0.004451
reach_back_vwap_1m,A3_Q2,1,5047,4188,0.048147,,0.043696,0.004451,,,gap180_w24,partner_sign,,,,Q1:差=0.029007 Q3:差=0.000000
reach_back_vwap_1m,A3_Q3,1,5048,3567,0.000000,,0.000000,0.000000,,,gap180_w24,partner_sign,,,,Q2:差=0.004451
reach_back_vwap_1m,A4_Q1,1,3587,4802,0.047672,,0.022282,0.025390,,,gap180_w24,partner_sign,,,,Q2:差=0.014708
reach_back_vwap_1m,A4_Q2,1,3586,2656,0.035416,,0.020708,0.014708,,,gap180_w24,partner_sign,,,,Q1:差=0.025390 Q3:差=0.006198
reach_back_vwap_1m,A4_Q3,1,3586,2427,0.010318,,0.004120,0.006198,,,gap180_w24,partner_sign,,,,Q2:差=0.014708
reach_back_vwap_1m,A5_Q1,1,3587,4430,0.054084,,0.019639,0.034445,,,gap180_w24,partner_sign,,,,Q2:差=0.009477
reach_back_vwap_1m,A5_Q2,1,3586,2896,0.038483,,0.029006,0.009477,,,gap180_w24,partner_sign,,,,Q1:差=0.034445 Q3:差=0.000446
reach_back_vwap_1m,A5_Q3,1,3586,2559,0.000837,,0.000391,0.000446,,,gap180_w24,partner_sign,,,,Q2:差=0.009477
