観測量,群,h,n1,n2,実群,対照(i),対照(ii),差(ii),差(i),対照(i)SE,走行,対照(ii)の軸の作り方,MDE(参考。族の α に入らない),MDEとの比較,検出力,隣の分位
reach_back_vwap_1m,全体,1,25343,21247,0.029476,0.016755,0.016849,0.012626,0.012720,0.000805,gap30_w24,own,,,,
reach_back_vwap_1m,A1_Q1,1,8471,4673,0.006375,0.001674,0.003210,0.003165,0.004701,0.001183,gap30_w24,own,,,,Q2:差=0.012991
reach_back_vwap_1m,A1_Q2,1,8427,8163,0.026344,0.009315,0.013353,0.012991,0.017029,0.001124,gap30_w24,own,,,,Q1:差=0.003165 Q3:差=0.027952
reach_back_vwap_1m,A1_Q3,1,8445,8411,0.055773,0.021028,0.027821,0.027952,0.034745,0.001103,gap30_w24,own,,,,Q2:差=0.012991
reach_back_vwap_1m,A2_Q1,1,8448,11260,0.048769,,0.020959,0.027810,,,gap30_w24,partner_sign,,,,Q2:差=0.016766
reach_back_vwap_1m,A2_Q2,1,8447,5580,0.034687,,0.017921,0.016766,,,gap30_w24,partner_sign,,,,Q1:差=0.027810 Q3:差=-0.000020
reach_back_vwap_1m,A2_Q3,1,8448,4407,0.004972,,0.004992,-0.000020,,,gap30_w24,partner_sign,,,,Q2:差=0.016766
reach_back_vwap_1m,A3_Q1,1,8448,10289,0.080729,,0.033725,0.047004,,,gap30_w24,partner_sign,,,,Q2:差=0.005886
reach_back_vwap_1m,A3_Q2,1,8447,6506,0.007577,,0.001691,0.005886,,,gap30_w24,partner_sign,,,,Q1:差=0.047004 Q3:差=0.000118
reach_back_vwap_1m,A3_Q3,1,8448,4452,0.000118,,0.000000,0.000118,,,gap30_w24,partner_sign,,,,Q2:差=0.005886
reach_back_vwap_1m,A4_Q1,1,5908,7744,0.051794,,0.018724,0.033070,,,gap30_w24,partner_sign,,,,Q2:差=0.015381
reach_back_vwap_1m,A4_Q2,1,5908,4085,0.033006,,0.017625,0.015381,,,gap30_w24,partner_sign,,,,Q1:差=0.033070 Q3:差=0.005325
reach_back_vwap_1m,A4_Q3,1,5908,3024,0.008632,,0.003307,0.005325,,,gap30_w24,partner_sign,,,,Q2:差=0.015381
reach_back_vwap_1m,A5_Q1,1,5908,7163,0.072783,,0.024012,0.048770,,,gap30_w24,partner_sign,,,,Q2:差=0.008196
reach_back_vwap_1m,A5_Q2,1,5908,4566,0.019804,,0.011608,0.008196,,,gap30_w24,partner_sign,,,,Q1:差=0.048770 Q3:差=0.000206
reach_back_vwap_1m,A5_Q3,1,5908,3124,0.000846,,0.000640,0.000206,,,gap30_w24,partner_sign,,,,Q2:差=0.008196
reach_back_vwap_1m,E_Q1,1,4657,2859,0.000644,,0.006296,-0.005652,,,gap30_w24,inherit,,,,Q2:差=-0.008470
reach_back_vwap_1m,E_Q2,1,4656,3907,0.002792,,0.011262,-0.008470,,,gap30_w24,inherit,,,,Q1:差=-0.005652 Q3:差=0.075404
reach_back_vwap_1m,E_Q3,1,4657,4558,0.104144,,0.028741,0.075404,,,gap30_w24,inherit,,,,Q2:差=-0.008470
reach_back_vwap_1m,B1_Q1,1,15652,14036,0.029070,,0.018239,0.010831,,,gap30_w24,inherit,,,,Q2:差=0.016689
reach_back_vwap_1m,B1_Q2,1,4628,3776,0.032844,,0.016155,0.016689,,,gap30_w24,inherit,,,,Q1:差=0.010831 Q3:差=0.015716
reach_back_vwap_1m,B1_Q3,1,5063,3435,0.027652,,0.011936,0.015716,,,gap30_w24,inherit,,,,Q2:差=0.016689
reach_back_vwap_1m,B2_Q1,1,8636,7715,0.029296,,0.018406,0.010890,,,gap30_w24,inherit,,,,Q2:差=0.014170
reach_back_vwap_1m,B2_Q2,1,8312,7105,0.030919,,0.016749,0.014170,,,gap30_w24,inherit,,,,Q1:差=0.010890 Q3:差=0.013139
reach_back_vwap_1m,B2_Q3,1,8395,6427,0.028231,,0.015093,0.013139,,,gap30_w24,inherit,,,,Q2:差=0.014170
reach_back_vwap_1m,D_Q1,1,5990,4752,0.034725,0.016151,0.017466,0.017258,0.018574,0.001759,gap30_w24,own,,,,Q2:差=0.018186
reach_back_vwap_1m,D_Q2,1,5991,5570,0.032549,0.015377,0.014363,0.018186,0.017172,0.001393,gap30_w24,own,,,,Q1:差=0.017258 Q3:差=0.011623
reach_back_vwap_1m,D_Q3,1,5987,4781,0.026892,0.016588,0.015269,0.011623,0.010304,0.001795,gap30_w24,own,,,,Q2:差=0.018186
reach_back_vwap_1m,C_SELL,1,14509,12609,0.032463,,0.017924,0.014539,,,gap30_w24,inherit,,,,
reach_back_vwap_1m,C_BUY,1,10834,8638,0.025475,,0.015281,0.010194,,,gap30_w24,inherit,,,,
reach_back_vwap_5m,全体,5,25343,21247,0.065699,0.048142,0.042265,0.023434,0.017557,0.001343,gap30_w24,own,,,,
reach_back_vwap_5m,A1_Q1,5,8471,4673,0.013222,0.005021,0.007704,0.005518,0.008201,0.002045,gap30_w24,own,,,,Q2:差=0.028807
reach_back_vwap_5m,A1_Q2,5,8427,8163,0.060045,0.021370,0.031239,0.028807,0.038675,0.001693,gap30_w24,own,,,,Q1:差=0.005518 Q3:差=0.051811
reach_back_vwap_5m,A1_Q3,5,8445,8411,0.123979,0.062729,0.072167,0.051811,0.061250,0.001864,gap30_w24,own,,,,Q2:差=0.028807
reach_back_vwap_5m,A2_Q1,5,8448,11260,0.108783,,0.052575,0.056208,,,gap30_w24,partner_sign,,,,Q2:差=0.027927
reach_back_vwap_5m,A2_Q2,5,8447,5580,0.074701,,0.046774,0.027927,,,gap30_w24,partner_sign,,,,Q1:差=0.056208 Q3:差=0.003402
reach_back_vwap_5m,A2_Q3,5,8448,4407,0.013613,,0.010211,0.003402,,,gap30_w24,partner_sign,,,,Q2:差=0.027927
reach_back_vwap_5m,A3_Q1,5,8448,10289,0.161222,,0.077559,0.083663,,,gap30_w24,partner_sign,,,,Q2:差=0.019198
reach_back_vwap_5m,A3_Q2,5,8447,6506,0.034568,,0.015370,0.019198,,,gap30_w24,partner_sign,,,,Q1:差=0.083663 Q3:差=0.001302
reach_back_vwap_5m,A3_Q3,5,8448,4452,0.001302,,0.000000,0.001302,,,gap30_w24,partner_sign,,,,Q2:差=0.019198
reach_back_vwap_5m,A4_Q1,5,5908,7744,0.112729,,0.050878,0.061850,,,gap30_w24,partner_sign,,,,Q2:差=0.028737
reach_back_vwap_5m,A4_Q2,5,5908,4085,0.073290,,0.044553,0.028737,,,gap30_w24,partner_sign,,,,Q1:差=0.061850 Q3:差=0.005144
reach_back_vwap_5m,A4_Q3,5,5908,3024,0.015064,,0.009921,0.005144,,,gap30_w24,partner_sign,,,,Q2:差=0.028737
reach_back_vwap_5m,A5_Q1,5,5908,7163,0.151659,,0.064359,0.087300,,,gap30_w24,partner_sign,,,,Q2:差=0.014721
reach_back_vwap_5m,A5_Q2,5,5908,4566,0.046039,,0.031318,0.014721,,,gap30_w24,partner_sign,,,,Q1:差=0.087300 Q3:差=0.002745
reach_back_vwap_5m,A5_Q3,5,5908,3124,0.003385,,0.000640,0.002745,,,gap30_w24,partner_sign,,,,Q2:差=0.014721
reach_back_vwap_5m,E_Q1,5,4657,2859,0.003006,,0.013991,-0.010985,,,gap30_w24,inherit,,,,Q2:差=-0.022050
reach_back_vwap_5m,E_Q2,5,4656,3907,0.006873,,0.028922,-0.022050,,,gap30_w24,inherit,,,,Q1:差=-0.010985 Q3:差=0.131365
reach_back_vwap_5m,E_Q3,5,4657,4558,0.214516,,0.083151,0.131365,,,gap30_w24,inherit,,,,Q2:差=-0.022050
reach_back_vwap_5m,B1_Q1,5,15652,14036,0.067723,,0.044742,0.022981,,,gap30_w24,inherit,,,,Q2:差=0.029845
reach_back_vwap_5m,B1_Q2,5,4628,3776,0.071953,,0.042108,0.029845,,,gap30_w24,inherit,,,,Q1:差=0.022981 Q3:差=0.021409
reach_back_vwap_5m,B1_Q3,5,5063,3435,0.053723,,0.032314,0.021409,,,gap30_w24,inherit,,,,Q2:差=0.029845
reach_back_vwap_5m,B2_Q1,5,8636,7715,0.067624,,0.045107,0.022517,,,gap30_w24,inherit,,,,Q2:差=0.027795
reach_back_vwap_5m,B2_Q2,5,8312,7105,0.070019,,0.042224,0.027795,,,gap30_w24,inherit,,,,Q1:差=0.022517 Q3:差=0.020542
reach_back_vwap_5m,B2_Q3,5,8395,6427,0.059440,,0.038898,0.020542,,,gap30_w24,inherit,,,,Q2:差=0.027795
reach_back_vwap_5m,D_Q1,5,5990,4752,0.075459,0.041642,0.043771,0.031688,0.033817,0.002787,gap30_w24,own,,,,Q2:差=0.030919
reach_back_vwap_5m,D_Q2,5,5991,5570,0.073110,0.049462,0.042190,0.030919,0.023648,0.002455,gap30_w24,own,,,,Q1:差=0.031688 Q3:差=0.019142
reach_back_vwap_5m,D_Q3,5,5987,4781,0.055955,0.041667,0.036812,0.019142,0.014288,0.002808,gap30_w24,own,,,,Q2:差=0.030919
reach_back_vwap_5m,C_SELL,5,14509,12609,0.071955,,0.043461,0.028494,,,gap30_w24,inherit,,,,
reach_back_vwap_5m,C_BUY,5,10834,8638,0.057320,,0.040519,0.016801,,,gap30_w24,inherit,,,,
reach_back_vwap_15m,全体,15,25343,21247,0.107840,0.096441,0.081894,0.025947,0.011400,0.001851,gap30_w24,own,,,,
reach_back_vwap_15m,A1_Q1,15,8471,4673,0.025853,0.011715,0.020758,0.005095,0.014137,0.003114,gap30_w24,own,,,,Q2:差=0.038267
reach_back_vwap_15m,A1_Q2,15,8427,8163,0.100866,0.049178,0.062600,0.038267,0.051688,0.002531,gap30_w24,own,,,,Q1:差=0.005095 Q3:差=0.062454
reach_back_vwap_15m,A1_Q3,15,8445,8411,0.197040,0.122800,0.134586,0.062454,0.074240,0.002523,gap30_w24,own,,,,Q2:差=0.038267
reach_back_vwap_15m,A2_Q1,15,8448,11260,0.170691,,0.100533,0.070158,,,gap30_w24,partner_sign,,,,Q2:差=0.032298
reach_back_vwap_15m,A2_Q2,15,8447,5580,0.125488,,0.093190,0.032298,,,gap30_w24,partner_sign,,,,Q1:差=0.070158 Q3:差=0.007376
reach_back_vwap_15m,A2_Q3,15,8448,4407,0.027344,,0.019968,0.007376,,,gap30_w24,partner_sign,,,,Q2:差=0.032298
reach_back_vwap_15m,A3_Q1,15,8448,10289,0.224195,,0.130722,0.093473,,,gap30_w24,partner_sign,,,,Q2:差=0.033000
reach_back_vwap_15m,A3_Q2,15,8447,6506,0.093406,,0.060406,0.033000,,,gap30_w24,partner_sign,,,,Q1:差=0.093473 Q3:差=0.005469
reach_back_vwap_15m,A3_Q3,15,8448,4452,0.005919,,0.000449,0.005469,,,gap30_w24,partner_sign,,,,Q2:差=0.033000
reach_back_vwap_15m,A4_Q1,15,5908,7744,0.182295,,0.097624,0.084671,,,gap30_w24,partner_sign,,,,Q2:差=0.019606
reach_back_vwap_15m,A4_Q2,15,5908,4085,0.116791,,0.097185,0.019606,,,gap30_w24,partner_sign,,,,Q1:差=0.084671 Q3:差=0.004634
reach_back_vwap_15m,A4_Q3,15,5908,3024,0.028775,,0.024140,0.004634,,,gap30_w24,partner_sign,,,,Q2:差=0.019606
reach_back_vwap_15m,A5_Q1,15,5908,7163,0.220379,,0.121318,0.099061,,,gap30_w24,partner_sign,,,,Q2:差=0.021907
reach_back_vwap_15m,A5_Q2,15,5908,4566,0.098341,,0.076435,0.021907,,,gap30_w24,partner_sign,,,,Q1:差=0.099061 Q3:差=0.006579
reach_back_vwap_15m,A5_Q3,15,5908,3124,0.009140,,0.002561,0.006579,,,gap30_w24,partner_sign,,,,Q2:差=0.021907
reach_back_vwap_15m,E_Q1,15,4657,2859,0.007945,,0.026583,-0.018638,,,gap30_w24,inherit,,,,Q2:差=-0.034887
reach_back_vwap_15m,E_Q2,15,4656,3907,0.025773,,0.060660,-0.034887,,,gap30_w24,inherit,,,,Q1:差=-0.018638 Q3:差=0.162325
reach_back_vwap_15m,E_Q3,15,4657,4558,0.324458,,0.162133,0.162325,,,gap30_w24,inherit,,,,Q2:差=-0.034887
reach_back_vwap_15m,B1_Q1,15,15652,14036,0.113340,,0.085993,0.027347,,,gap30_w24,inherit,,,,Q2:差=0.033105
reach_back_vwap_15m,B1_Q2,15,4628,3776,0.111495,,0.078390,0.033105,,,gap30_w24,inherit,,,,Q1:差=0.027347 Q3:差=0.018502
reach_back_vwap_15m,B1_Q3,15,5063,3435,0.087498,,0.068996,0.018502,,,gap30_w24,inherit,,,,Q2:差=0.033105
reach_back_vwap_15m,B2_Q1,15,8636,7715,0.111394,,0.086714,0.024680,,,gap30_w24,inherit,,,,Q2:差=0.034730
reach_back_vwap_15m,B2_Q2,15,8312,7105,0.114533,,0.079803,0.034730,,,gap30_w24,inherit,,,,Q1:差=0.024680 Q3:差=0.019139
reach_back_vwap_15m,B2_Q3,15,8395,6427,0.097558,,0.078419,0.019139,,,gap30_w24,inherit,,,,Q2:差=0.034730
reach_back_vwap_15m,D_Q1,15,5990,4752,0.118364,0.083868,0.082702,0.035662,0.034495,0.003867,gap30_w24,own,,,,Q2:差=0.027116
reach_back_vwap_15m,D_Q2,15,5991,5570,0.118678,0.102383,0.091562,0.027116,0.016295,0.003432,gap30_w24,own,,,,Q1:差=0.035662 Q3:差=0.021664
