観測量,群,h,n1,n2,実群,対照(i),対照(ii),差(ii),差(i),対照(i)SE,走行,対照(ii)の軸の作り方,MDE(参考。族の α に入らない),MDEとの比較,検出力,隣の分位
bp_1m_reactdir,全体,1,21198,18199,-6.800366,-0.009649,-0.269566,-6.530800,-6.790718,0.029314,gap60_w8,own,0.344704,≥,,
bp_1m_reactdir,A1_W8h_Q1,1,7150,4297,-9.007503,0.007473,-0.463010,-8.544494,-9.014976,0.205903,gap60_w8,own,0.646647,≥,,Q2:差=-6.175816
bp_1m_reactdir,A1_W8h_Q2,1,6986,6863,-6.496814,-0.007864,-0.320998,-6.175816,-6.488950,0.063354,gap60_w8,own,0.616768,≥,,Q1:差=-8.544494 Q3:差=-4.764679
bp_1m_reactdir,A1_W8h_Q3,1,7062,7039,-4.866011,-0.010763,-0.101332,-4.764679,-4.855248,0.033425,gap60_w8,own,0.532145,≥,,Q2:差=-6.175816
bp_1m_reactdir,A1_W24h_Q1,1,7073,4474,-9.783736,0.007654,-0.527654,-9.256082,-9.791390,0.134678,gap60_w24,own,0.730793,≥,,Q2:差=-5.819535
bp_1m_reactdir,A1_W24h_Q2,1,7128,6988,-5.942899,0.002801,-0.123364,-5.819535,-5.945700,0.055131,gap60_w24,own,0.514930,≥,,Q1:差=-9.256082 Q3:差=-4.430911
bp_1m_reactdir,A1_W24h_Q3,1,6997,6979,-4.658112,-0.017058,-0.227201,-4.430911,-4.641054,0.035643,gap60_w24,own,0.503767,≥,,Q2:差=-5.819535
bp_1m_reactdir,A2_W8h_Q1,1,7066,11286,-4.368498,,0.274904,-4.643402,,,gap60_w8,partner_sign,0.511426,≥,,Q2:差=-4.923041
bp_1m_reactdir,A2_W8h_Q2,1,7066,4075,-5.790980,,-0.867938,-4.923041,,,gap60_w8,partner_sign,0.519860,≥,,Q1:差=-4.643402 Q3:差=-8.666021
bp_1m_reactdir,A2_W8h_Q3,1,7066,2838,-10.241621,,-1.575600,-8.666021,,,gap60_w8,partner_sign,0.950606,≥,,Q2:差=-4.923041
bp_1m_reactdir,A2_W24h_Q1,1,7066,9474,-4.755358,,0.125411,-4.880769,,,gap60_w24,partner_sign,0.518647,≥,,Q2:差=-4.833219
bp_1m_reactdir,A2_W24h_Q2,1,7066,4785,-5.355033,,-0.521813,-4.833219,,,gap60_w24,partner_sign,0.560303,≥,,Q1:差=-4.880769 Q3:差=-9.453860
bp_1m_reactdir,A2_W24h_Q3,1,7066,4182,-10.290708,,-0.836848,-9.453860,,,gap60_w24,partner_sign,0.746789,≥,,Q2:差=-4.833219
bp_1m_reactdir,A3_W8h_Q1,1,7066,10644,-4.154481,,0.297398,-4.451879,,,gap60_w8,partner_sign,0.458178,≥,,Q2:差=-4.635419
bp_1m_reactdir,A3_W8h_Q2,1,7066,5041,-5.423479,,-0.788060,-4.635419,,,gap60_w8,partner_sign,0.546885,≥,,Q1:差=-4.451879 Q3:差=-9.192776
