row	viewpoint	correct	same	total
new_impl	V1	9	9	9
new_impl	V2	3	3	3
new_impl	V3	5	5	5
new_impl	V4	2	2	2
new_impl	V5	7	7	7
new_impl	V6	5	5	5
new_impl	V7	4	4	4
new_impl	計	35	35	35
current_impl	V1	0	0	9
current_impl	V2	1	2	3
current_impl	V3	0	0	5
current_impl	V4	0	0	2
current_impl	V5	1	1	7
current_impl	V6	0	0	5
current_impl	V7	0	0	4
current_impl	計	2	3	35
survey_best	V1	0	1	9
survey_best	V2	0	0	3
survey_best	V3	0	5	5
survey_best	V4	0	0	2
survey_best	V5	0	0	7
survey_best	V6	1	1	5
survey_best	V7	3	3	4
survey_best	計	4	10	35
mutant	V1	7	9	9
mutant	V2	2	3	3
mutant	V3	5	5	5
mutant	V4	2	2	2
mutant	V5	7	7	7
mutant	V6	5	5	5
mutant	V7	4	4	4
mutant	計	32	35	35
