scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-bitflyer-rest	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v1-bitflyer-us-gz	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v1-binance-aggtrades	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.0	0.001
v1-fx-ticks	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.0
v1-jpx-1m	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.0	0.001
v1-bitflyer-board-top10	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.0
v1-funding-and-liquidations	V1	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v1-all-assets-one-call	V1	能力	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.002	0.002
v1-generic-shape	V1	能力	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v2-same-instant-4-units	V2	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v2-iso-offsets	V2	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.0	0.0
v2-naive-local-tz	V2	値	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	adapter: 再現したのは V3 の検査の機構だけ(読み取りは再現の側の手段で、道具の読み口ではない)	-	結果なし	0.001	0.001
v3-clean-control	V3	値	結果なし	adapter: slippage の系列の型は足(BarSeries)だけで、約定の行の型が無い	-	結果なし	adapter: slippage の系列の型は足(BarSeries)だけで、約定の行の型が無い	-	結果なし	0.0	0.0
