scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-bitflyer-rest	V1	値	正解と一致		5ee6cae867158215	正解と一致		5ee6cae867158215	2 回の実行で同じ	0.002	0.002
v1-bitflyer-us-gz	V1	値	正解と一致		83de9cf731eeb8e4	正解と一致		83de9cf731eeb8e4	2 回の実行で同じ	0.001	0.001
v1-binance-aggtrades	V1	値	正解と一致		cfabfc9d509c6122	正解と一致		cfabfc9d509c6122	2 回の実行で同じ	0.001	0.001
v1-fx-ticks	V1	値	正解と一致		79b98e1fae76eca6	正解と一致		79b98e1fae76eca6	2 回の実行で同じ	0.001	0.01
v1-jpx-1m	V1	値	正解と一致		67a36f5ba7980d77	正解と一致		67a36f5ba7980d77	2 回の実行で同じ	0.001	0.001
v1-bitflyer-board-top10	V1	値	正解と一致		41299ea1f6da6302	正解と一致		41299ea1f6da6302	2 回の実行で同じ	0.001	0.001
v1-funding-and-liquidations	V1	値	正解と一致		4160cd29e1fc2f55	正解と一致		4160cd29e1fc2f55	2 回の実行で同じ	0.001	0.006
v1-all-assets-one-call	V1	能力	正解と一致		6befad163bd98e44	正解と一致		6befad163bd98e44	2 回の実行で同じ	0.005	0.012
v1-generic-shape	V1	能力	正解と一致		77b13cbd11080645	正解と一致		77b13cbd11080645	2 回の実行で同じ	0.003	0.004
v2-same-instant-4-units	V2	値	正解と一致		980d2ca3cc323489	正解と一致		980d2ca3cc323489	2 回の実行で同じ	0.002	0.004
v2-iso-offsets	V2	値	正解と一致		35a00860dc638211	正解と一致		35a00860dc638211	2 回の実行で同じ	0.001	0.001
v2-naive-local-tz	V2	値	正解と一致		1abec341f7358fc4	正解と一致		1abec341f7358fc4	2 回の実行で同じ	0.001	0.004
v3-clean-control	V3	値	正解と一致		82c19b4e7f0dea2c	正解と一致		82c19b4e7f0dea2c	2 回の実行で同じ	0.001	0.002
v3-duplicate-and-conflict	V3	値	正解と一致		35b646cb858da50c	正解と一致		35b646cb858da50c	2 回の実行で同じ	0.001	0.001
v3-backward	V3	値	正解と一致		3b0f27129a141178	正解と一致		3b0f27129a141178	2 回の実行で同じ	0.001	0.001
v3-gap-bars	V3	値	正解と一致		2cf5286c8e3a71ae	正解と一致		2cf5286c8e3a71ae	2 回の実行で同じ	0.001	0.002
v3-generations	V3	値	正解と一致		b194d43251b78b38	正解と一致		b194d43251b78b38	2 回の実行で同じ	0.001	0.001
v4-sha256-values	V4	値	正解と一致		36e1455a51011dc9	正解と一致		36e1455a51011dc9	2 回の実行で同じ	0.002	0.003
v4-sha256-distinguishes	V4	能力	正解と一致		6c649dfe379f6b66	正解と一致		6c649dfe379f6b66	2 回の実行で同じ	0.002	0.007
