費用,c_bp,方策,型,位置,n,中央値,負の割合
費用なし,0.000000,全部逆張り,A,入らなかった,0,,
費用なし,0.000000,全部逆張り,B,1件目で入った,200,0.504322,0.445000
費用なし,0.000000,全部逆張り,B,途中で入った,0,,
費用なし,0.000000,全部逆張り,B,入らなかった,0,,
費用なし,0.000000,全部順張り,A,1件目で入った,200,-0.504322,0.535000
費用なし,0.000000,全部順張り,A,途中で入った,0,,
費用なし,0.000000,全部順張り,A,入らなかった,0,,
費用なし,0.000000,全部順張り,B,1件目で入った,200,-0.504322,0.535000
費用なし,0.000000,全部順張り,B,途中で入った,0,,
費用なし,0.000000,全部順張り,B,入らなかった,0,,
費用あり(主のc),2.004025,logistic_3択,A,1件目で入った,159,-1.562010,0.591195
費用あり(主のc),2.004025,logistic_3択,A,途中で入った,13,0.495529,0.461538
費用あり(主のc),2.004025,logistic_3択,A,入らなかった,28,0.000000,0.000000
費用あり(主のc),2.004025,logistic_3択,B,1件目で入った,159,-1.588651,0.603774
費用あり(主のc),2.004025,logistic_3択,B,途中で入った,13,0.495529,0.461538
費用あり(主のc),2.004025,logistic_3択,B,入らなかった,28,0.000000,0.000000
費用あり(主のc),2.004025,logistic_2値0.5,A,1件目で入った,200,-2.032464,0.640000
費用あり(主のc),2.004025,logistic_2値0.5,A,途中で入った,0,,
費用あり(主のc),2.004025,logistic_2値0.5,A,入らなかった,0,,
費用あり(主のc),2.004025,logistic_2値0.5,B,1件目で入った,200,-2.026144,0.635000
費用あり(主のc),2.004025,logistic_2値0.5,B,途中で入った,0,,
費用あり(主のc),2.004025,logistic_2値0.5,B,入らなかった,0,,
費用あり(主のc),2.004025,logistic_2値基準率,A,1件目で入った,200,-1.597818,0.595000
費用あり(主のc),2.004025,logistic_2値基準率,A,途中で入った,0,,
費用あり(主のc),2.004025,logistic_2値基準率,A,入らなかった,0,,
費用あり(主のc),2.004025,logistic_2値基準率,B,1件目で入った,200,-1.991883,0.620000
費用あり(主のc),2.004025,logistic_2値基準率,B,途中で入った,0,,
費用あり(主のc),2.004025,logistic_2値基準率,B,入らなかった,0,,
費用あり(主のc),2.004025,規則,A,1件目で入った,200,-2.385812,0.675000
費用あり(主のc),2.004025,規則,A,途中で入った,0,,
費用あり(主のc),2.004025,規則,A,入らなかった,0,,
費用あり(主のc),2.004025,規則,B,1件目で入った,200,-2.282906,0.645000
費用あり(主のc),2.004025,規則,B,途中で入った,0,,
費用あり(主のc),2.004025,規則,B,入らなかった,0,,
費用あり(主のc),2.004025,完全な判断,A,1件目で入った,200,2.602971,0.370000
費用あり(主のc),2.004025,完全な判断,A,途中で入った,0,,
費用あり(主のc),2.004025,完全な判断,A,入らなかった,0,,
費用あり(主のc),2.004025,完全な判断,B,1件目で入った,200,2.619921,0.390000
費用あり(主のc),2.004025,完全な判断,B,途中で入った,0,,
費用あり(主のc),2.004025,完全な判断,B,入らなかった,0,,
費用あり(主のc),2.004025,全部逆張り,A,1件目で入った,200,-1.499703,0.585000
費用あり(主のc),2.004025,全部逆張り,A,途中で入った,0,,
費用あり(主のc),2.004025,全部逆張り,A,入らなかった,0,,
費用あり(主のc),2.004025,全部逆張り,B,1件目で入った,200,-1.499703,0.585000
費用あり(主のc),2.004025,全部逆張り,B,途中で入った,0,,
費用あり(主のc),2.004025,全部逆張り,B,入らなかった,0,,
費用あり(主のc),2.004025,全部順張り,A,1件目で入った,200,-2.508347,0.665000
費用あり(主のc),2.004025,全部順張り,A,途中で入った,0,,
費用あり(主のc),2.004025,全部順張り,A,入らなかった,0,,
費用あり(主のc),2.004025,全部順張り,B,1件目で入った,200,-2.508347,0.665000
費用あり(主のc),2.004025,全部順張り,B,途中で入った,0,,
費用あり(主のc),2.004025,全部順張り,B,入らなかった,0,,
費用あり(p75),3.922816,logistic_3択,A,1件目で入った,159,-3.480801,0.698113
費用あり(p75),3.922816,logistic_3択,A,途中で入った,13,-1.423262,0.538462
費用あり(p75),3.922816,logistic_3択,A,入らなかった,28,0.000000,0.000000
費用あり(p75),3.922816,logistic_3択,B,1件目で入った,159,-3.922816,0.704403
費用あり(p75),3.922816,logistic_3択,B,途中で入った,13,-1.423262,0.538462
費用あり(p75),3.922816,logistic_3択,B,入らなかった,28,0.000000,0.000000
費用あり(p75),3.922816,logistic_2値0.5,A,1件目で入った,200,-3.951255,0.725000
費用あり(p75),3.922816,logistic_2値0.5,A,途中で入った,0,,
費用あり(p75),3.922816,logistic_2値0.5,A,入らなかった,0,,
費用あり(p75),3.922816,logistic_2値0.5,B,1件目で入った,200,-3.946486,0.725000
費用あり(p75),3.922816,logistic_2値0.5,B,途中で入った,0,,
費用あり(p75),3.922816,logistic_2値0.5,B,入らなかった,0,,
費用あり(p75),3.922816,logistic_2値基準率,A,1件目で入った,200,-3.516609,0.705000
費用あり(p75),3.922816,logistic_2値基準率,A,途中で入った,0,,
費用あり(p75),3.922816,logistic_2値基準率,A,入らなかった,0,,
費用あり(p75),3.922816,logistic_2値基準率,B,1件目で入った,200,-3.944838,0.710000
費用あり(p75),3.922816,logistic_2値基準率,B,途中で入った,0,,
費用あり(p75),3.922816,logistic_2値基準率,B,入らなかった,0,,
費用あり(p75),3.922816,規則,A,1件目で入った,200,-4.419152,0.760000
費用あり(p75),3.922816,規則,A,途中で入った,0,,
費用あり(p75),3.922816,規則,A,入らなかった,0,,
費用あり(p75),3.922816,規則,B,1件目で入った,200,-4.386081,0.735000
費用あり(p75),3.922816,規則,B,途中で入った,0,,
費用あり(p75),3.922816,規則,B,入らなかった,0,,
費用あり(p75),3.922816,完全な判断,A,1件目で入った,200,0.577153,0.475000
費用あり(p75),3.922816,完全な判断,A,途中で入った,0,,
費用あり(p75),3.922816,完全な判断,A,入らなかった,0,,
費用あり(p75),3.922816,完全な判断,B,1件目で入った,200,0.577153,0.475000
費用あり(p75),3.922816,完全な判断,B,途中で入った,0,,
費用あり(p75),3.922816,完全な判断,B,入らなかった,0,,
費用あり(p75),3.922816,全部逆張り,A,1件目で入った,200,-3.418494,0.675000
費用あり(p75),3.922816,全部逆張り,A,途中で入った,0,,
費用あり(p75),3.922816,全部逆張り,A,入らなかった,0,,
費用あり(p75),3.922816,全部逆張り,B,1件目で入った,200,-3.418494,0.675000
費用あり(p75),3.922816,全部逆張り,B,途中で入った,0,,
費用あり(p75),3.922816,全部逆張り,B,入らなかった,0,,
費用あり(p75),3.922816,全部順張り,A,1件目で入った,200,-4.427138,0.750000
費用あり(p75),3.922816,全部順張り,A,途中で入った,0,,
費用あり(p75),3.922816,全部順張り,A,入らなかった,0,,
費用あり(p75),3.922816,全部順張り,B,1件目で入った,200,-4.427138,0.750000
費用あり(p75),3.922816,全部順張り,B,途中で入った,0,,
費用あり(p75),3.922816,全部順張り,B,入らなかった,0,,
