場面,帯下端,帯上端,件数,続く割合,2SE,基準率,基準率と区別できない,区分
1件目,0.140000,0.160000,6,0.166667,0.304290,0.434330,1,止まる
1件目,0.160000,0.180000,48,0.125000,0.095470,0.434330,0,止まる
1件目,0.180000,0.200000,122,0.172131,0.068353,0.434330,0,止まる
1件目,0.200000,0.220000,228,0.184211,0.051346,0.434330,0,止まる
1件目,0.220000,0.240000,318,0.251572,0.048666,0.434330,0,止まる
1件目,0.240000,0.260000,439,0.250569,0.041364,0.434330,0,止まる
1件目,0.260000,0.280000,406,0.307882,0.045819,0.434330,0,止まる
1件目,0.280000,0.300000,407,0.358722,0.047548,0.434330,0,止まる
1件目,0.300000,0.320000,388,0.340206,0.048105,0.434330,0,止まる
1件目,0.320000,0.340000,403,0.339950,0.047193,0.434330,0,止まる
1件目,0.340000,0.360000,408,0.321078,0.046229,0.434330,0,止まる
1件目,0.360000,0.380000,399,0.355890,0.047938,0.434330,0,止まる
1件目,0.380000,0.400000,357,0.392157,0.051680,0.434330,1,わからない
1件目,0.400000,0.420000,352,0.397727,0.052173,0.434330,1,わからない
1件目,0.420000,0.440000,368,0.421196,0.051477,0.434330,1,わからない
1件目,0.440000,0.460000,359,0.454039,0.052555,0.434330,1,わからない
1件目,0.460000,0.480000,374,0.430481,0.051207,0.434330,1,わからない
1件目,0.480000,0.500000,379,0.480211,0.051326,0.434330,1,わからない
1件目,0.500000,0.520000,352,0.491477,0.053292,0.434330,0,続く
1件目,0.520000,0.540000,373,0.514745,0.051756,0.434330,0,続く
1件目,0.540000,0.560000,377,0.517241,0.051472,0.434330,0,続く
1件目,0.560000,0.580000,363,0.512397,0.052470,0.434330,0,続く
1件目,0.580000,0.600000,357,0.607843,0.051680,0.434330,0,続く
1件目,0.600000,0.620000,357,0.596639,0.051928,0.434330,0,続く
1件目,0.620000,0.640000,294,0.670068,0.054844,0.434330,0,続く
1件目,0.640000,0.660000,265,0.630189,0.059311,0.434330,0,続く
1件目,0.660000,0.680000,180,0.700000,0.068313,0.434330,0,続く
1件目,0.680000,0.700000,130,0.815385,0.068057,0.434330,0,続く
1件目,0.700000,0.720000,59,0.711864,0.117924,0.434330,0,続く
1件目,0.720000,0.740000,33,0.818182,0.134282,0.434330,0,続く
1件目,0.740000,0.760000,19,0.684211,0.213278,0.434330,0,続く
1件目,0.760000,0.780000,8,1.000000,0.000000,0.434330,0,続く
1件目,0.780000,0.800000,2,1.000000,0.000000,0.434330,0,続く
1件目,0.800000,0.820000,1,1.000000,0.000000,0.434330,0,続く
