入る位置,入る条件,出口,損切り,総収支_bp,中央値_入った本のみ,p25,p75,中央値_0含む,負の割合,日等重み平均,日クラスタSE,入った本数,日数,建玉の回数,前半の前_総収支_bp,前半の後_総収支_bp,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒,欠測,条件で外れた本数,空の理由
1件目から,材料12≥p90,連鎖の終わり+d,含み損20bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,連鎖の終わり+d,含み損50bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,最後のプリント+300秒+d,なし,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,最後のプリント+300秒+d,含み損20bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,最後のプリント+300秒+d,含み損50bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,入ってから300秒+d,なし,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,入ってから300秒+d,含み損20bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p90,入ってから300秒+d,含み損50bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p90 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料14≥p75,連鎖の終わり+d,なし,-96.245530,2.565166,-9.944015,14.523940,0.000000,0.420131,1.585318,1.519373,457,129,457,-125.902854,29.657324,10.566846,-9.108255,1,83.239926,0,8474,
1件目から,材料14≥p75,連鎖の終わり+d,含み損20bp,-1510.853313,-3.085417,-21.863932,11.445808,0.000000,0.540481,-1.490700,0.987486,457,129,457,-567.145679,-943.707634,6.372389,-237.093708,1,50.198249,0,8474,
1件目から,材料14≥p75,連鎖の終わり+d,含み損50bp,-1200.137743,2.161701,-12.883511,14.401405,0.000000,0.446389,-0.294502,1.354032,457,129,457,-376.958516,-823.179227,8.855368,-135.526584,1,69.757821,0,8474,
1件目から,材料14≥p75,最後のプリント+300秒+d,なし,1098.814975,5.190892,-17.935536,24.256804,0.000000,0.431072,5.987508,2.562840,457,129,457,27.844891,1070.970084,41.064225,26.758449,3,323.481860,0,8474,
1件目から,材料14≥p75,最後のプリント+300秒+d,含み損20bp,-1660.961956,-17.302828,-23.917521,15.168763,0.000000,0.634573,0.059739,1.392028,457,129,457,-556.228189,-1104.733767,21.447145,-77.444433,3,168.949061,0,8474,
1件目から,材料14≥p75,最後のプリント+300秒+d,含み損50bp,-1420.474410,0.563706,-42.395702,21.488692,0.000000,0.496718,2.959508,2.032407,457,129,457,-387.866062,-1032.608347,32.478899,-43.735301,3,255.851280,0,8474,
1件目から,材料14≥p75,入ってから300秒+d,なし,1247.224013,4.908215,-14.938182,24.673070,0.000000,0.431072,5.998251,2.336291,457,129,457,346.639577,900.584437,38.145560,32.696440,3,300.490190,0,8474,
1件目から,材料14≥p75,入ってから300秒+d,含み損20bp,-1679.698768,-17.217925,-23.917521,14.796387,0.000000,0.636761,-0.109754,1.393333,457,129,457,-552.768532,-1126.930236,21.055239,-79.775811,3,165.861838,0,8474,
1件目から,材料14≥p75,入ってから300秒+d,含み損50bp,-1285.179554,1.082254,-41.373341,21.964598,0.000000,0.492341,2.895139,2.047280,457,129,457,-262.751599,-1022.427955,31.177240,-41.221723,3,245.597516,0,8474,
1件目から,材料14≥p90,連鎖の終わり+d,なし,-40.424552,1.068145,-16.521908,18.206015,0.000000,0.464789,1.244338,4.268768,71,31,71,-83.193773,42.769221,1.707257,-23.678071,1,86.565141,0,8860,
1件目から,材料14≥p90,連鎖の終わり+d,含み損20bp,-669.697695,-20.196595,-26.753407,8.183929,0.000000,0.676056,-7.425208,3.434620,71,31,71,-303.177569,-366.520126,0.811018,-825.749428,1,41.122042,0,8860,
1件目から,材料14≥p90,連鎖の終わり+d,含み損50bp,-435.853861,-4.062184,-36.175734,18.918954,0.000000,0.535211,-3.110426,4.321043,71,31,71,-253.632975,-182.220886,1.314593,-331.550406,1,66.655423,0,8860,
1件目から,材料14≥p90,最後のプリント+300秒+d,なし,583.611614,6.525103,-27.161393,36.475332,0.000000,0.436620,7.461465,6.254152,71,31,71,7.124973,576.486641,6.442455,90.588392,3,326.659676,0,8860,
1件目から,材料14≥p90,最後のプリント+300秒+d,含み損20bp,-828.700097,-22.424458,-27.242153,-1.350516,0.000000,0.746479,-8.933610,4.231510,71,31,71,-319.768043,-508.932054,2.172322,-381.481204,2,110.145915,0,8860,
1件目から,材料14≥p90,最後のプリント+300秒+d,含み損50bp,-243.509538,-11.598802,-50.654616,19.257741,0.000000,0.563380,-2.619225,5.969200,71,31,71,-240.870988,-2.638550,4.365692,-55.777990,2,221.359042,0,8860,
1件目から,材料14≥p90,入ってから300秒+d,なし,630.398999,4.765569,-30.031313,39.098855,0.000000,0.464789,7.343117,6.451863,71,31,71,38.042536,592.356463,5.922661,106.438467,3,300.303958,0,8860,
1件目から,材料14≥p90,入ってから300秒+d,含み損20bp,-838.678013,-22.424458,-27.242153,-3.663231,0.000000,0.760563,-9.366582,4.265981,71,31,71,-335.059634,-503.618379,2.156958,-388.824542,2,109.366859,0,8860,
1件目から,材料14≥p90,入ってから300秒+d,含み損50bp,-230.852200,-9.169915,-50.654616,19.259748,0.000000,0.591549,-3.486502,6.059705,71,31,71,-258.190463,27.338263,4.126238,-55.947378,2,209.217704,0,8860,
1件目から,材料15≥p75,連鎖の終わり+d,なし,-3793.102206,-0.759346,-5.438892,4.563063,0.000000,0.538668,-1.490259,0.324227,2612,225,2612,-1059.097188,-2734.005019,55.801857,-67.974480,1,76.909144,0,6319,
1件目から,材料15≥p75,連鎖の終わり+d,含み損20bp,-5468.761890,-1.093529,-6.353059,4.169830,0.000000,0.560107,-2.041741,0.266513,2612,225,2612,-1871.289553,-3597.472336,47.606172,-114.875061,1,65.613407,0,6319,
1件目から,材料15≥p75,連鎖の終わり+d,含み損50bp,-5412.139661,-0.812802,-5.547529,4.529461,0.000000,0.542496,-1.954560,0.321157,2612,225,2612,-1368.707888,-4043.431772,53.221221,-101.691385,1,73.352372,0,6319,
