draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
0,6.586018665999973,-2.7919158063508696,-0.7298880240853736,2572,-2.4207760892077395,-0.7979344080396982,2056,-1.237324409129261,-0.2702046155686181,492
1,5.437462894999953,-3.1883339436553597,-0.7175408815641334,2818,-2.6486518331756255,-0.6399771222544054,1819,-1.4001782644862122,-0.43063129075192896,441
2,5.406690755999989,-2.750733837788255,-0.5825166304040792,2464,-1.795995815715816,-0.39035091616529216,2004,-3.026077216335649,-1.5614886186353791,460
3,5.077176418999898,-2.9053675857109518,-1.1487380638428204,2778,-3.1983115398540964,-1.6317042513712559,2031,1.251857636834761,0.5111419733970652,528
4,6.1870777980000184,-3.0003676539405033,-1.6314167440678629,2696,-3.0031174538500602,-1.7525241024964033,1971,-0.6715950067123547,-0.19907806797495606,441
5,5.245877627999789,-3.0933198934527963,-1.014729065626624,2646,-2.9043627564033963,-1.222229293397508,1943,-0.14474039701905905,-0.028567583780911513,371
6,5.137531925999838,-3.2321179183824325,-1.6306435136073356,2498,-2.8732700760170804,-1.5224296076105375,2153,-2.833310007583474,-0.771555317247131,345
7,5.152530410999816,-2.8033835463623284,-1.4991990003316435,2630,-2.169670602752996,-0.863282637232187,2111,-2.5745306973838624,-1.8172177038938664,391
8,6.482204679999995,-1.6291886036302015,-0.358129921143689,2611,-1.7217807414596809,-0.4054059037310718,2075,-0.6670048371211802,-0.1375426546168448,405
9,5.057310724999979,-2.8818243613414034,-1.4533284730447367,2798,-2.709508340366366,-1.714456985941692,2084,0.0967265567868556,0.02592212655104898,311
10,5.010151425999993,-2.857141075420267,-0.7354649606069915,2545,-2.6810174795117026,-0.590612995234385,2069,-2.5597603581456276,-1.116872593752638,423
11,5.12349010700018,-3.275775353104587,-1.2607536854592791,2655,-3.0778979355550535,-1.2378104748548646,2090,-2.408185349474662,-1.6010338691758075,452
12,5.300157109000111,-3.1593323738999843,-1.4975740634444021,2646,-2.6528952772397396,-1.7186221305902794,2028,-2.8011147347251977,-0.8382677152330675,452
13,4.9518734330001735,-3.1989187227013405,-1.1812581279592507,2730,-2.8616675466781873,-0.9992631532443697,1990,-1.6941363825276772,-0.5259059370442035,369
14,5.096685539999953,-3.1021008528475598,-1.3599658599218023,2634,-2.750813594073332,-1.166011104048838,2196,-3.0425342537657407,-0.68297615410139,438
15,5.019141050999906,-2.9903864601785313,-1.1685637476987167,2685,-2.941460247055862,-1.416814540715263,2032,0.050031787064853304,0.013891116928228128,476
16,5.269014302999949,-2.951004201100013,-1.1926601024694923,2719,-2.9820182008541334,-1.3143433198331023,2058,-1.0483743076023795,-0.46872916423373084,470
17,5.053358812999932,-3.4247167925908846,-1.085063611382576,2747,-3.243107499189281,-1.3303102167729957,1964,-0.44618537395581437,-0.09744952348835607,442
