config,year,n,mean,ci_lo,ci_hi,gross_mean,cost_mean
best,2017,50,6.553199093246859,-5.919922593009748,18.833431248132726,10.851947696346832,4.2987486030999715
best,2018,28,71.55414483701054,20.145823131301913,123.06099484352937,75.95575058296765,4.401605745957115
best,2019,7,81.13534692571999,,,85.67980981453424,4.544462888814257
best,2020,13,9.223355993232984,,,13.94364305787142,4.720287064638434
best,2021,6,-34.50961977111995,,,-29.91753783468665,4.5920819364333045
best,2022,12,62.72729210074121,,,67.31937403717451,4.592081936433305
best,2023,21,-1.6293901221045957,-8.600155434880383,4.968154977279896,2.7245965762334725,4.353986698338067
