k,thr,n_signal_minutes,n_window_minutes,n_window_minutes_with_exec,eff_bps_window,eff_bps_uncond,ratio_eff,quoted_bps_window,quoted_bps_uncond,ratio_quoted,measured,thin,burst_coef_used,cons_one_way_bps
15,0.4,1512,2216,2210,1.6211117819612888,1.1096753736714808,1.4608883106035464,1.279427900526871,0.9667576874923348,1.3234214913207145,True,False,1.4608883106035464,1.8991548037846104
15,0.8,258,377,376,2.2138198104599294,1.1096753736714808,1.995015716294818,1.5606707798979123,0.9667576874923348,1.6143350087508732,True,False,1.995015716294818,2.5935204311832636
15,1.2,70,98,98,2.862724052003572,1.1096753736714808,2.5797851515186285,1.7834707550431241,0.9667576874923348,1.8447960415698943,True,True,2.5797851515186285,3.353720696974217
30,0.4,3066,4026,4014,1.457157030111935,1.1096753736714808,1.3131381165022826,1.1886932648860644,0.9667576874923348,1.2295669124384276,True,False,1.3131381165022826,1.7070795514529675
30,0.8,758,969,968,1.8342189937290811,1.1096753736714808,1.6529329543111058,1.4155145389580583,0.9667576874923348,1.4641875180012796,True,False,1.6529329543111058,2.1488128406044376
30,1.2,239,318,318,2.168066556522313,1.1096753736714808,1.953784510283427,1.5591561621322239,0.9667576874923348,1.6127683103058708,True,False,1.953784510283427,2.539919863368455
60,0.4,5240,6316,6296,1.3359097564013673,1.1096753736714808,1.2038743835337766,1.1198430876208227,0.9667576874923348,1.1583492969428306,True,False,1.2038743835337766,1.5650366985939097
60,0.8,1555,1852,1847,1.6279378909630318,1.1096753736714808,1.4670397573813172,1.3045455244958768,0.9667576874923348,1.3494027938683655,True,False,1.4670397573813172,1.9071516845957124
60,1.2,648,795,790,1.817626325968407,1.1096753736714808,1.6379802319615275,1.406845688597372,0.9667576874923348,1.4552205860876866,True,False,1.6379802319615275,2.1293743015499857
