config,label,period,variable,state,n,mean,ci_lo,ci_hi,sd_bps,mde_bps,n_no_tercile
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,1_low,6050,-0.6517994719038551,-1.747634938223654,0.5401068460382973,47.82911503172383,1.7227350722017962,113
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,2_mid,22516,-2.38850658686839,-2.944967516863616,-1.7908400515386502,45.74999705273302,0.8541797822325962,113
iter0_best,15/0.4/0.5,full,realized_vol_60m_tercile,3_high,35816,-4.100136671750663,-4.793163391297148,-3.385688269840797,71.60495289445971,1.060006089158231,113
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,1_low,1933,-0.23106180750808755,-1.9427435779253635,1.551547828293173,40.65796753409789,2.5907981310875225,60
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,2_mid,5249,-2.1524074830133073,-3.331408672474235,-0.9269521655816259,43.08476993144753,1.6660549804228915,60
iter0_best,15/0.4/0.5,val,realized_vol_60m_tercile,3_high,4843,-3.207102921297064,-4.999704225899791,-1.4716811414773185,59.57775363473073,2.398450319297936,60
current,30/0.8/0.5,full,realized_vol_60m_tercile,1_low,639,9.976615439426235,2.6171421755173916,17.82827037416608,93.17653742995384,10.326662315572422,39
current,30/0.8/0.5,full,realized_vol_60m_tercile,2_mid,6465,-0.807508256918877,-2.4527988445269577,0.8842451427060435,70.55689507204634,2.45843671817752,39
current,30/0.8/0.5,full,realized_vol_60m_tercile,3_high,17574,-6.2856728120681815,-7.541917585725329,-5.054382329094476,91.40715198268522,1.931740138985877,39
current,30/0.8/0.5,val,realized_vol_60m_tercile,1_low,179,-4.648980531909567,-12.406600721096108,3.5587689869340795,60.62337569190201,12.694553709912249,12
current,30/0.8/0.5,val,realized_vol_60m_tercile,2_mid,1580,-2.3320359114955136,-5.720968177196937,1.2339850099561955,65.36262555646303,4.606857544328086,12
current,30/0.8/0.5,val,realized_vol_60m_tercile,3_high,2202,-5.960958494713435,-9.068314986331957,-2.637170237444306,82.0037067268767,4.895856318493951,12
