config,label,period,n,sigma_bps,se_independent,mde_independent,se_cluster,mde_cluster,mde_registered
best,60/1.2/1.0@1_low,full,137,138.68177068391773,11.848383276952491,33.194255453017526,12.26762166681843,34.3687875291356,1.54
best,60/1.2/1.0@1_low,val,33,95.8626668009638,16.687548330373872,46.75158873704855,16.2318312041501,45.474858372357154,1.54
iter0_best,15/0.4/0.5@all,full,64495,61.629126396759986,0.24267385435599825,0.6798714833044539,0.24069488484443338,0.6743272315727936,1.54
iter0_best,15/0.4/0.5@all,val,12085,49.994998000586754,0.45478195888413764,1.2741104136957526,0.43398263696516876,1.2158393408506667,1.54
current,30/0.8/0.5@all,full,24717,86.5013829663351,0.5502058100656244,1.5414484646676923,0.5371360554912814,1.504832433441483,1.54
current,30/0.8/0.5@all,val,3973,74.85235601188236,1.1875343809750862,3.3269787683191017,1.124882687169222,3.1514547090323397,1.54
