row	viewpoint	correct	same	total
new_impl	I4-1	2	2	2
new_impl	I4-2	9	9	9
new_impl	I4-3	5	5	5
new_impl	I4-4	2	2	2
new_impl	I4-5	2	2	2
new_impl	I4-6	3	3	3
new_impl	I4-8	3	3	3
new_impl	I4-9	2	2	2
new_impl	I4-10	5	5	5
new_impl	I4-11	5	5	5
new_impl	I4-12	4	4	4
new_impl	I4-13	9	9	9
new_impl	I4-14	2	2	2
new_impl	I4-15	2	2	2
new_impl	I4-16	4	4	4
new_impl	I4-17	4	4	4
new_impl	I4-18	4	4	4
new_impl	計	67	67	67
current_impl	I4-1	0	0	2
current_impl	I4-2	9	9	9
current_impl	I4-3	4	4	5
current_impl	I4-4	2	2	2
current_impl	I4-5	0	0	2
current_impl	I4-6	0	0	3
current_impl	I4-8	3	3	3
current_impl	I4-9	2	2	2
current_impl	I4-10	2	5	5
current_impl	I4-11	5	5	5
current_impl	I4-12	3	4	4
current_impl	I4-13	4	9	9
current_impl	I4-14	2	2	2
current_impl	I4-15	2	2	2
current_impl	I4-16	4	4	4
current_impl	I4-17	2	4	4
current_impl	I4-18	2	4	4
current_impl	計	46	59	67
survey_best	I4-1	0	0	2
survey_best	I4-2	7	9	9
survey_best	I4-3	2	4	5
survey_best	I4-4	2	2	2
survey_best	I4-5	0	0	2
survey_best	I4-6	0	0	3
survey_best	I4-8	3	3	3
survey_best	I4-9	2	2	2
survey_best	I4-10	3	4	5
survey_best	I4-11	4	5	5
survey_best	I4-12	1	4	4
survey_best	I4-13	5	6	9
survey_best	I4-14	2	2	2
survey_best	I4-15	0	2	2
survey_best	I4-16	3	4	4
survey_best	I4-17	0	1	4
survey_best	I4-18	0	0	4
survey_best	計	34	48	67
mutant	I4-1	1	2	2
mutant	I4-2	8	9	9
mutant	I4-3	4	5	5
mutant	I4-4	2	2	2
mutant	I4-5	2	2	2
mutant	I4-6	3	3	3
mutant	I4-8	3	3	3
mutant	I4-9	2	2	2
mutant	I4-10	5	5	5
mutant	I4-11	5	5	5
mutant	I4-12	4	4	4
mutant	I4-13	9	9	9
mutant	I4-14	2	2	2
mutant	I4-15	2	2	2
mutant	I4-16	3	4	4
mutant	I4-17	4	4	4
mutant	I4-18	4	4	4
mutant	計	63	67	67
