calculation_date,settlement_date,rate
2026-09-12T05:00:00,2026-09-12T13:00:00,0.0001
2026-09-11T21:00:00,2026-09-12T05:00:00,0.0001
2026-09-11T13:00:00,2026-09-11T21:00:00,-0.00034
2026-09-11T05:00:00,2026-09-11T13:00:00,0.0001
2026-09-10T21:00:00,2026-09-11T05:00:00,0.0001
2026-09-10T13:00:00,2026-09-10T21:00:00,9e-05
2026-09-15T05:00:00,2026-09-15T13:00:00,0.0001
2026-09-14T21:00:00,2026-09-15T05:00:00,0.0001
2026-09-14T13:00:00,2026-09-14T21:00:00,0.0001
2026-09-14T05:00:00,2026-09-14T13:00:00,0.0001
2026-09-13T21:00:00,2026-09-14T05:00:00,0.0001
2026-09-13T13:00:00,2026-09-13T21:00:00,0.0001
2026-09-18T05:00:00,2026-09-18T13:00:00,0.0001
2026-09-17T21:00:00,2026-09-18T05:00:00,0.0001
2026-09-17T13:00:00,2026-09-17T21:00:00,-0.00018
2026-09-17T05:00:00,2026-09-17T13:00:00,-0.00014
2026-09-16T21:00:00,2026-09-17T05:00:00,0.0001
2026-09-16T13:00:00,2026-09-16T21:00:00,-7e-05
2026-09-20T21:00:00,2026-09-21T05:00:00,0.0001
2026-09-20T13:00:00,2026-09-20T21:00:00,-0.00016
2026-09-20T05:00:00,2026-09-20T13:00:00,0.0001
2026-09-19T21:00:00,2026-09-20T05:00:00,0.0001
2026-09-19T13:00:00,2026-09-19T21:00:00,0.0001
2026-09-19T05:00:00,2026-09-19T13:00:00,0.0001
2026-09-21T05:00:00,2026-09-21T13:00:00,0.0001
2026-09-21T13:00:00,2026-09-21T21:00:00,0.0001
2026-09-21T21:00:00,2026-09-22T05:00:00,0.0001
2026-09-22T05:00:00,2026-09-22T13:00:00,0.0001
2026-09-22T13:00:00,2026-09-22T21:00:00,0.0001
2026-09-22T21:00:00,2026-09-23T05:00:00,0.0001
2026-09-23T05:00:00,2026-09-23T13:00:00,0.0001
2026-09-23T13:00:00,2026-09-23T21:00:00,-3e-05
2026-09-23T21:00:00,2026-09-24T05:00:00,-2e-05
2026-09-24T05:00:00,2026-09-24T13:00:00,0.0001
2026-09-24T13:00:00,2026-09-24T21:00:00,-6e-05
2026-09-24T21:00:00,2026-09-25T05:00:00,0.0001
