date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2011-09-05,2011-09-06,765.0,760.0,752.0,-65.35947712418277,-105.26315789473716,1.0,26.31578947368421,-105.26315789473716,-131.57894736842138,False,False,False,False,False,False,False,False,False,True,True,0,9,era1,,
2011-09-06,2011-09-07,752.0,744.0,755.0,-106.38297872340385,147.8494623655924,1.0,26.881720430107528,147.8494623655924,120.96774193548487,False,False,False,False,False,False,False,False,False,True,True,1,9,era1,,
2011-09-07,2011-09-08,755.0,758.0,765.0,39.735099337747656,92.34828496042181,1.0,26.385224274406333,92.34828496042181,65.96306068601547,False,False,False,False,False,False,False,False,False,True,True,2,9,era1,,
2011-09-08,2011-09-09,765.0,760.0,762.0,-65.35947712418277,26.315789473683182,1.0,26.31578947368421,26.315789473683182,-1.0267342531733448e-12,False,False,False,False,False,False,False,False,False,True,True,3,9,era1,,
2011-09-09,2011-09-12,762.0,760.0,746.0,-26.24671916010457,-184.21052631578894,1.0,26.31578947368421,-184.21052631578894,-210.52631578947316,False,False,False,False,False,False,False,False,False,True,True,4,9,era1,,
2011-09-12,2011-09-13,746.0,746.0,750.0,0.0,53.6193029490617,1.0,26.80965147453083,53.6193029490617,26.809651474530867,False,False,False,False,False,False,False,False,False,True,True,0,9,era1,,
2011-09-13,2011-09-14,750.0,753.0,753.0,40.000000000000036,0.0,1.0,26.560424966799467,0.0,-26.560424966799467,False,False,False,False,False,False,False,False,False,True,True,1,9,era1,,
2011-09-14,2011-09-15,753.0,746.0,755.0,-92.96148738379806,120.64343163538771,1.0,26.80965147453083,120.64343163538771,93.83378016085689,False,False,False,False,False,False,False,False,False,True,True,2,9,era1,,
2011-09-15,2011-09-16,755.0,754.0,764.0,-13.245033112583293,132.62599469495927,1.0,26.52519893899204,132.62599469495927,106.10079575596723,False,False,False,False,False,False,False,False,False,True,True,3,9,era1,,
2011-09-16,2011-09-20,764.0,772.0,762.0,104.71204188481576,-129.53367875647714,1.0,25.906735751295336,-129.53367875647714,-155.4404145077725,False,False,False,False,False,False,False,False,False,True,True,4,9,era1,,
2011-09-20,2011-09-21,762.0,758.0,758.0,-52.49343832021025,0.0,1.0,26.385224274406333,0.0,-26.385224274406333,False,False,False,False,False,False,False,False,False,True,True,1,9,era1,,
2011-09-21,2011-09-22,758.0,759.0,749.0,13.192612137202797,-131.75230566534913,1.0,26.350461133069828,-131.75230566534913,-158.10276679841894,False,False,False,False,False,False,False,False,False,True,True,2,9,era1,,
2011-09-22,2011-09-26,749.0,748.0,747.0,-13.35113484646211,-13.368983957219305,1.0,26.7379679144385,-13.368983957219305,-40.106951871657806,False,False,False,False,False,False,False,False,False,True,True,3,9,era1,,
2011-09-26,2011-09-27,747.0,733.0,745.0,-187.41633199464536,163.71077762619367,1.0,27.285129604365622,163.71077762619367,136.42564802182807,False,False,False,False,False,False,False,False,False,True,True,0,9,era1,,
2011-09-27,2011-09-28,745.0,753.0,759.0,107.38255033557076,79.68127490039834,1.0,26.560424966799467,79.68127490039834,53.12084993359887,False,False,False,False,False,False,False,False,False,True,True,1,9,era1,,
2011-09-28,2011-09-29,759.0,766.0,760.0,92.2266139657446,-78.32898172323799,1.0,26.109660574412533,-78.32898172323799,-104.43864229765052,False,False,False,False,False,False,False,False,False,True,True,2,9,era1,,
2011-09-29,2011-09-30,760.0,773.0,774.0,171.05263157894734,12.936610608020871,1.0,25.8732212160414,12.936610608020871,-12.93661060802053,False,False,False,False,False,False,False,False,False,True,True,3,9,era1,,
2011-09-30,2011-10-03,774.0,772.0,757.0,-25.83979328165342,-194.3005181347146,1.0,25.906735751295336,-194.3005181347146,-220.20725388600994,False,False,False,False,False,False,False,False,False,True,True,4,9,era1,,
2011-10-03,2011-10-04,757.0,757.0,745.0,0.0,-158.52047556142668,1.0,26.42007926023778,-158.52047556142668,-184.94055482166445,False,False,False,False,False,False,False,False,False,True,True,0,10,era1,,
2011-10-04,2011-10-05,745.0,747.0,750.0,26.845637583892135,40.160642570281624,1.0,26.77376171352075,40.160642570281624,13.386880856760875,False,False,False,False,False,False,False,False,False,True,True,1,10,era1,83.44063051813785,high
2011-10-05,2011-10-06,750.0,738.0,742.0,-160.00000000000014,54.200542005420346,1.0,27.100271002710027,54.200542005420346,27.10027100271032,False,False,False,False,False,False,False,False,False,True,True,2,10,era1,89.63620213777891,high
2011-10-06,2011-10-07,742.0,746.0,753.0,53.90835579514919,93.83378016085686,1.0,26.80965147453083,93.83378016085686,67.02412868632604,False,False,False,False,False,False,False,False,False,True,True,3,10,era1,87.460408010578,high
2011-10-07,2011-10-11,753.0,751.0,764.0,-26.560424966799445,173.10252996005414,1.0,26.63115845539281,173.10252996005414,146.47137150466133,False,False,False,False,False,False,False,False,False,True,True,4,10,era1,87.15517211944743,high
2011-10-11,2011-10-12,764.0,764.0,762.0,0.0,-26.17801047120394,1.0,26.17801047120419,-26.17801047120394,-52.35602094240813,False,False,False,False,False,False,False,False,False,True,True,1,10,era1,85.89863854519513,high
2011-10-12,2011-10-13,762.0,765.0,771.0,39.37007874015741,78.43137254901933,1.0,26.143790849673202,78.43137254901933,52.28758169934613,False,False,False,False,False,False,False,False,False,True,True,2,10,era1,86.0737902186177,high
2011-10-13,2011-10-14,771.0,769.0,762.0,-25.940337224383825,-91.0273081924573,1.0,26.007802340702213,-91.0273081924573,-117.03511053315951,False,False,False,False,False,False,False,False,False,True,True,3,10,era1,86.32977990376222,high
2011-10-14,2011-10-17,762.0,758.0,770.0,-52.49343832021025,158.311345646438,1.0,26.385224274406333,158.311345646438,131.92612137203167,False,False,False,False,False,False,False,False,False,True,True,4,10,era1,86.69432885058639,high
2011-10-17,2011-10-18,770.0,774.0,766.0,51.94805194805197,-103.3591731266148,1.0,25.839793281653748,-103.3591731266148,-129.19896640826855,False,False,False,False,False,False,False,False,False,True,True,0,10,era1,84.7324058045481,high
2011-10-18,2011-10-19,766.0,762.0,767.0,-52.21932114882533,65.6167979002631,1.0,26.246719160104988,65.6167979002631,39.37007874015811,False,False,False,False,False,False,False,False,False,True,True,1,10,era1,85.62159934703091,high
2011-10-19,2011-10-20,767.0,763.0,758.0,-52.1512385919165,-65.53079947575368,1.0,26.212319790301443,-65.53079947575368,-91.74311926605512,False,False,False,False,False,False,False,False,False,True,True,2,10,era1,82.97874035565589,high
2011-10-20,2011-10-21,758.0,758.0,757.0,0.0,-13.192612137202797,1.0,26.385224274406333,-13.192612137202797,-39.57783641160913,False,False,False,False,False,False,False,False,False,True,True,3,10,era1,82.21166045891552,high
2011-10-21,2011-10-24,757.0,756.0,762.0,-13.210039630119352,79.36507936507908,1.0,26.455026455026452,79.36507936507908,52.91005291005263,False,False,False,False,False,False,False,False,False,True,True,4,10,era1,82.16679429692155,high
2011-10-24,2011-10-25,762.0,766.0,767.0,52.49343832020914,13.054830287206887,1.0,26.109660574412533,13.054830287206887,-13.054830287205647,False,False,False,False,False,False,False,False,False,True,True,0,10,era1,83.05810186781883,high
2011-10-25,2011-10-26,767.0,758.0,751.0,-117.34028683181185,-92.34828496042181,1.0,26.385224274406333,-92.34828496042181,-118.73350923482815,False,False,False,False,False,False,False,False,False,True,True,1,10,era1,75.90744911786571,mid
2011-10-26,2011-10-27,751.0,757.0,759.0,79.89347536617953,26.420079260238705,1.0,26.42007926023778,26.420079260238705,9.237055564881302e-13,False,False,False,False,False,False,False,False,False,True,True,2,10,era1,74.1556052620293,mid
2011-10-27,2011-10-28,759.0,775.0,787.0,210.80368906455814,154.83870967741842,1.0,25.806451612903224,154.83870967741842,129.0322580645152,False,False,False,False,False,False,False,False,False,True,True,3,10,era1,85.59808654705937,high
2011-10-28,2011-10-31,787.0,783.0,779.0,-50.82592121982255,-51.085568326947325,1.0,25.54278416347382,-51.085568326947325,-76.62835249042115,False,False,False,False,False,False,False,False,False,True,True,4,10,era1,77.33688285214268,mid
2011-10-31,2011-11-01,779.0,777.0,767.0,-25.673940949936245,-128.7001287001288,1.0,25.74002574002574,-128.7001287001288,-154.44015444015454,False,False,False,False,False,False,False,False,False,True,True,0,10,era1,77.33432119621537,mid
2011-11-01,2011-11-02,767.0,765.0,753.0,-26.07561929595881,-156.86274509803977,1.0,26.143790849673202,-156.86274509803977,-183.00653594771296,False,False,False,False,False,False,False,False,False,True,True,1,11,era1,77.49968770128065,mid
2011-11-02,2011-11-04,753.0,750.0,759.0,-39.84063745019917,120.00000000000011,1.0,26.666666666666664,120.00000000000011,93.33333333333346,False,False,False,False,False,False,False,False,False,True,True,2,11,era1,77.52092263295052,mid
2011-11-04,2011-11-07,759.0,763.0,761.0,52.7009222661401,-26.21231979030192,1.0,26.212319790301443,-26.21231979030192,-52.42463958060336,False,False,False,False,False,False,False,False,False,True,True,4,11,era1,69.72481473742116,mid
2011-11-07,2011-11-08,761.0,763.0,758.0,26.281208935610145,-65.53079947575368,1.0,26.212319790301443,-65.53079947575368,-91.74311926605512,False,False,False,False,False,False,False,False,False,True,True,0,11,era1,68.93104309514342,mid
2011-11-08,2011-11-09,758.0,751.0,755.0,-92.34828496042181,53.26231691078487,1.0,26.63115845539281,53.26231691078487,26.631158455392058,False,False,False,False,False,False,False,False,False,True,True,1,11,era1,71.85131779348207,mid
2011-11-09,2011-11-10,755.0,761.0,742.0,79.47019867549754,-249.67148488830526,1.0,26.281208935611037,-249.67148488830526,-275.9526938239163,False,False,False,False,False,False,False,False,False,True,True,2,11,era1,74.11390712572563,mid
2011-11-10,2011-11-11,742.0,742.0,742.0,0.0,0.0,1.0,26.954177897574127,0.0,-26.954177897574127,False,False,False,False,False,False,False,False,False,True,True,3,11,era1,73.5969083312213,mid
2011-11-11,2011-11-14,742.0,739.0,748.0,-40.43126684636134,121.78619756427534,1.0,27.063599458728014,121.78619756427534,94.72259810554732,False,False,False,False,False,False,False,False,False,True,True,4,11,era1,73.93909642153754,mid
2011-11-14,2011-11-15,748.0,746.0,743.0,-26.73796791443861,-40.21447721179627,1.0,26.80965147453083,-40.21447721179627,-67.0241286863271,False,False,False,False,False,False,False,False,False,True,True,0,11,era1,73.2056329253419,mid
2011-11-15,2011-11-16,743.0,743.0,741.0,0.0,-26.917900403768957,1.0,26.917900403768506,-26.917900403768957,-53.83580080753747,False,False,False,False,False,False,False,False,False,True,True,1,11,era1,72.21154656530909,mid
2011-11-16,2011-11-17,741.0,736.0,733.0,-67.47638326585647,-40.76086956521729,1.0,27.17391304347826,-40.76086956521729,-67.93478260869556,False,False,False,False,False,False,False,False,False,True,True,2,11,era1,72.85041814168027,mid
2011-11-17,2011-11-18,733.0,739.0,730.0,81.85538881309684,-121.78619756427645,1.0,27.063599458728014,-121.78619756427645,-148.84979702300447,False,False,False,False,False,False,False,False,False,True,True,3,11,era1,74.1958512963493,mid
2011-11-18,2011-11-21,730.0,732.0,728.0,27.3972602739736,-54.64480874316946,1.0,27.3224043715847,-54.64480874316946,-81.96721311475416,False,False,False,False,False,False,False,False,False,True,True,4,11,era1,74.36739199835047,mid
2011-11-21,2011-11-22,728.0,729.0,721.0,13.736263736263687,-109.73936899862812,1.0,27.434842249657063,-109.73936899862812,-137.1742112482852,False,False,False,False,False,False,False,False,False,True,True,0,11,era1,74.25369600797463,mid
