regime,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
2007-09..2011-02-13,708,-11.145180346182975,145.87837996399938,0.43380530634297,1.059679588161095,0.4745762711864407
2011-02-14..2016-07-18,1137,-0.9354946723502912,102.82919113976267,8.761453774942064,-1.227416870669395,0.4951627088830255
2016-07-19..2020-12-20,923,-2.168398305589001,85.7085356695587,3.648772584058705,2.393222408308625,0.4799566630552546
