quantity,sd_bps,n,se_bps,mde_bps_independent,mde_bps_registered,mde_bps_effective_from_ci
"σ(r_night) ロール除外後 n=2,769(事前登録の基準)",113.1801370037709,2769,2.1508431340152656,6.025770331784466,6.03,5.720604956150995
"σ(夜間−日中の差)ロール除外後 n=2,769",151.55101573820951,2769,2.8800324004088025,8.068656202074378,8.07,7.326541408015419
σ(r_net 保守コスト後)主集合,110.65413795290893,2768,2.103219580395811,5.892348887906998,6.03,5.406973677191517
σ(夜間−日中の差)主集合,149.00726105678908,2768,2.83220306871091,7.934658253374045,8.07,6.85286562020451
