month,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
1,208,-11.781567764355394,123.72055024940289,-2.763914191188591,-7.804909896801665,0.47596153846153844
2,215,-7.842621397528631,122.91176013910174,1.2821199323778067,3.3200154367818775,0.46511627906976744
3,235,3.6910162589752242,129.00185568595253,12.767992906139574,2.9824515640671057,0.4723404255319149
4,228,2.2431002873641783,107.21305191313753,11.057038455349913,2.15509846643764,0.4692982456140351
5,213,-12.061811238366996,98.22905565044908,-3.300135859233335,5.6304337744409265,0.460093896713615
6,239,-4.331292082706181,99.90845214321457,4.46746962962277,0.8306621403342074,0.5062761506276151
7,237,-1.9059601379387527,80.71246454248367,6.809048279403323,-3.7471512352140306,0.46835443037974683
8,246,-14.418073022701433,97.7552070365166,-5.563927633769609,0.5582787239575924,0.4715447154471545
9,221,-1.0186862003535497,107.35199336922824,7.844556034524711,-3.1348550479348454,0.5384615384615384
10,255,-3.0966626529133037,128.74028370146738,5.826018922605875,-4.945375530468328,0.5019607843137255
11,234,2.5422564897025244,120.99233452555033,11.418529585289596,12.645724619199072,0.5341880341880342
12,237,-0.7391098250906699,101.3545295813886,8.073617215202209,-1.5666429654611351,0.45147679324894513
