year,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
2007,60,-12.715194452109758,110.630472549495,-5.10292716844866,3.949074529084125,0.5166666666666667
2008,208,-19.825452466718794,202.34664121471133,-9.419034464341836,10.416215235791155,0.4375
2009,207,-2.4646704129945505,128.49523673791168,10.754400705084782,-3.396578460442142,0.4975845410628019
2010,209,-12.342802255560285,105.45088321295773,-0.0919580167752297,-4.388029213725721,0.46411483253588515
2011,212,-13.343731787224907,113.88760363269404,-0.3099859111076692,0.17411514203060768,0.4481132075471698
2012,212,-3.2563810796449024,79.62068797605832,10.170560395689776,-1.547940500809567,0.4811320754716981
2013,209,5.023891741810632,115.21251866252976,14.100834769959416,0.9450603674156326,0.5023923444976076
2014,208,6.110276438161471,89.7302332204999,14.029819917825495,1.1875831062179942,0.5673076923076923
2015,208,-1.1291728697339343,87.77604987302796,5.241175751317907,-2.249361048157606,0.4951923076923077
2016,209,2.22948173162614,109.23927500852504,9.456896901251188,-3.4949342042956224,0.49282296650717705
2017,214,-1.2214936664394616,55.010805450253194,4.841497047744341,3.1712710964670614,0.43457943925233644
2018,209,-11.921327785286065,94.17238225054442,-6.435847561590305,0.3897240503150854,0.4688995215311005
2019,205,-0.48036192403381217,78.53558530973966,5.158443114539252,4.029057667964952,0.5073170731707317
2020,198,4.238344137639094,112.03549628803819,9.718552509130896,1.2083854157893064,0.5
