label,n,mean,sd,t,hit_rate,ci_lo,ci_hi,sharpe
"主集合(n=2,768 相当)",2768,-3.958047963734998,110.65413795290893,-1.8818995413641602,0.4848265895953757,-7.842905657931856,-0.2775647182519056,-0.517027612400455
"四半期ロール規則(PREREG n=3,081 相当)",3078,-4.587011884902883,111.6842198426363,-2.2786223784729525,0.48180636777128005,-8.54870436113701,-0.9240587287090276,-0.6260220920454247
"四半期ロール規則・誤プリント含む(n=3,081)",3081,-4.8255899544611065,119.2610180562133,-2.245937945116063,0.4816617981174943,-8.742120961975049,-1.20875087088414,-0.6170424657849682
1泊のみの部分集合,2203,-5.417165683913397,105.96817807441454,-2.399406879645996,0.4752610077167499,-10.103489064632013,-1.2102311983134855,-0.6592060749753584
夜間セッション無しの5ペアを除外,2763,-4.061395989971599,110.29524282179702,-1.9355705114609516,0.4846181686572566,-7.974141063019288,-0.2342989977559526,-0.5317730187914067
誤プリント除外のみ(ロール含む),3237,-5.654852606605203,113.88342921359033,-2.82508879921806,0.47945628668520235,-9.442041214174829,-1.9886308533801833,-0.776156688799754
誤プリント除外なし(ロール除外のみ),2769,-4.414114817282694,113.20714790599439,-2.0517821836004817,0.48465149873600577,-8.533157703277805,-0.41447204324842274,-0.5637006759583836
制度区分 2007-09..2011-02-13,708,-11.145180346182975,145.8783799639994,-2.0328849356501317,0.4745762711864407,-20.512425249568306,-1.8489804724409467,-1.1015335259262398
制度区分 2011-02-14..2016-07-18,1137,-0.9354946723502912,102.82919113976263,-0.30676452213141137,0.4951627088830255,-6.313503613948103,4.467432569121593,-0.13168867211458699
制度区分 2016-07-19..2020-12-20,923,-2.168398305589001,85.70853566955863,-0.7686273511486806,0.4799566630552546,-7.777013313075297,3.2606825729140345,-0.3657579403444805
train(暦日分割),1942,-4.605374642997554,119.30687278767408,-1.7010775612114415,0.4881565396498455,-9.524456399129509,0.12216548597714345,-0.557955212093982
val(暦日分割),826,-2.436124947841675,87.03124357096439,-0.8044784110242541,0.47699757869249393,-8.478057825013378,3.5537408271346393,-0.4046000289922039
