date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_quarterly,is_glitch,night_open,night_close,has_night,leg_a_bps,leg_b_bps,leg_c_bps
2007-09-19,2007-09-20,16270.0,16370.0,16470.0,16380.0,0.006108735491753281,61.08735491753281,61.46281499692652,1,7.452657299938912,1.3439218081857056,53.63469761759389,59.7434331093471,878.0,False,False,16290.0,16380.0,True,-48.86988393402514,55.24861878453136,54.94505494505475
2007-09-20,2007-09-21,16470.0,16380.0,16240.0,16270.0,-0.008547008547008517,-85.47008547008517,-54.64480874316946,1,7.448107448107448,1.343101343101343,-92.91819291819262,-86.8131868131865,-1522.0,False,False,16360.0,16340.0,True,-12.210012210012167,-12.224938875305957,-61.19951040391647
2007-09-21,2007-09-25,16240.0,16270.0,16380.0,16430.0,0.006760909649661917,67.60909649661917,18.47290640394128,4,7.498463429625077,1.352181929932391,60.1106330669941,66.25691456668679,978.0,False,False,16300.0,16380.0,True,18.438844499077955,49.07975460122671,0.0
2007-09-25,2007-09-26,16380.0,16430.0,16420.0,16500.0,-0.000608642726719455,-6.08642726719455,30.525030525030417,1,7.425441265976871,1.3390139987827145,-13.51186853317142,-7.425441265977264,-222.0,False,False,16410.0,16350.0,True,-12.172854534387989,-36.56307129798919,42.81345565749328
2007-09-26,2007-09-27,16420.0,16500.0,16660.0,16860.0,0.00969696969696976,96.9696969696976,48.72107186357999,1,7.393939393939394,1.3333333333333335,89.5757575757582,95.63636363636427,1478.0,False,False,16530.0,16530.0,True,18.18181818181719,0.0,78.64488808227543
2007-09-27,2007-09-28,16660.0,16860.0,16980.0,16830.0,0.007117437722419906,71.17437722419906,120.0480192076836,1,7.236061684460261,1.3048635824436534,63.9383155397388,69.8695136417554,1078.0,False,False,16870.0,16820.0,True,5.931198102016033,-29.638411381149865,95.12485136742077
2007-09-28,2007-10-01,16980.0,16830.0,16840.0,16850.0,0.0005941770647652778,5.941770647652778,-88.33922261484051,3,7.248960190136661,1.3071895424836601,-1.3071895424838837,4.634581105169118,-22.0,False,False,16810.0,16770.0,True,-11.883541295305555,-23.79535990481907,41.74120453190211
2007-10-01,2007-10-02,16840.0,16850.0,17100.0,17090.0,0.014836795252225476,148.36795252225477,5.9382422802856105,1,7.240356083086054,1.3056379821958457,141.1275964391687,147.06231454005894,2378.0,False,False,16820.0,16890.0,True,-17.804154302670796,41.61712247324534,124.3339253996445
2007-10-02,2007-10-03,17100.0,17090.0,17130.0,17200.0,0.002340550029256816,23.40550029256816,-5.847953216374657,1,7.1386775892334695,1.2873025160912814,16.26682270333469,22.11819777647688,278.0,False,False,17110.0,17110.0,True,11.70275014628519,0.0,11.689070718878813
2007-10-03,2007-10-04,17130.0,17200.0,17100.0,17120.0,-0.005813953488372103,-58.13953488372103,40.86398131932345,1,7.093023255813954,1.2790697674418605,-65.23255813953499,-59.418604651162894,-1122.0,False,False,17190.0,17100.0,True,-5.813953488371659,-52.35602094240788,0.0
2007-10-04,2007-10-05,17100.0,17120.0,17090.0,17130.0,-0.0017523364485981796,-17.523364485981794,11.695906432749315,1,7.126168224299065,1.2850467289719625,-24.64953271028086,-18.808411214953757,-422.0,False,False,17060.0,17090.0,True,-35.04672897196248,17.584994138335475,0.0
2007-10-05,2007-10-09,17090.0,17130.0,17220.0,17200.0,0.005253940455341555,52.53940455341555,23.40550029256816,4,7.1220081727962645,1.284296555750146,45.41739638061929,51.255107997665405,778.0,False,False,17120.0,17150.0,True,-5.837711617046049,17.523364485980686,40.816326530612734
2007-10-09,2007-10-10,17220.0,17200.0,17230.0,17230.0,0.0017441860465117198,17.4418604651172,-11.614401858304202,1,7.093023255813954,1.2790697674418605,10.348837209303245,16.162790697675337,178.0,False,False,17190.0,17200.0,True,-5.813953488371659,5.817335660267542,17.4418604651172
2007-10-10,2007-10-11,17230.0,17230.0,17240.0,17530.0,0.0005803830528148257,5.803830528148257,0.0,1,7.080673244341265,1.2768427161926872,-1.2768427161930083,4.5269878119555695,-22.0,False,False,17230.0,17200.0,True,0.0,-17.411491584445884,23.255813953488857
2007-10-11,2007-10-12,17240.0,17530.0,17480.0,17340.0,-0.0028522532800913103,-28.522532800913105,168.21345707656698,1,6.959498003422704,1.2549914432401599,-35.48203080433581,-29.777524244153266,-622.0,False,False,17520.0,17600.0,True,-5.7045065601823985,45.66210045662045,-68.18181818181834
2007-10-12,2007-10-15,17480.0,17340.0,17440.0,17400.0,0.005767012687427853,57.67012687427852,-80.09153318077833,3,7.035755478662053,1.2687427912341407,50.63437139561647,56.401384083044384,878.0,False,False,17320.0,17350.0,True,-11.534025374856371,17.32101616628068,51.873198847263154
2007-10-15,2007-10-16,17440.0,17400.0,17280.0,17130.0,-0.006896551724137945,-68.96551724137944,-22.935779816514177,1,7.011494252873563,1.264367816091954,-75.977011494253,-70.22988505747139,-1322.0,False,False,17400.0,17430.0,True,0.0,17.241379310344307,-86.05851979345935
2007-10-16,2007-10-17,17280.0,17130.0,17140.0,16980.0,0.0005837711617047159,5.837711617047159,-86.8055555555558,1,7.1220081727962645,1.284296555750146,-1.2842965557491057,4.553415061297013,-22.0,False,False,17100.0,16990.0,True,-17.513134851138147,-64.32748538011678,88.28722778104759
2007-10-17,2007-10-18,17140.0,16980.0,17010.0,17120.0,0.0017667844522968323,17.667844522968323,-93.34889148191361,1,7.1849234393404,1.2956419316843346,10.482921083627923,16.37220259128399,178.0,False,False,17030.0,17040.0,True,29.44640753828054,5.871990604815469,-17.605633802817433
2007-10-18,2007-10-19,17010.0,17120.0,16950.0,16820.0,-0.009929906542056055,-99.29906542056055,64.66784244562041,1,7.126168224299065,1.2850467289719625,-106.42523364485962,-100.58411214953252,-1822.0,False,False,17100.0,17030.0,True,-11.68224299065379,-40.93567251462038,-46.97592483852042
2007-10-19,2007-10-22,16950.0,16820.0,16280.0,16440.0,-0.03210463733650415,-321.0463733650415,-76.69616519174083,3,7.253269916765754,1.3079667063020215,-328.2996432818073,-322.35434007134353,-5522.0,False,False,16790.0,16820.0,True,-17.8359096313907,17.867778439546456,-321.0463733650415
2007-10-22,2007-10-23,16280.0,16440.0,16490.0,16480.0,0.0030413625304135383,30.413625304135383,98.2800982800991,1,7.420924574209246,1.338199513381995,22.99270072992614,29.07542579075339,378.0,False,False,16440.0,16380.0,True,0.0,-36.496350364964016,67.15506715506692
2007-10-23,2007-10-24,16490.0,16480.0,16530.0,16370.0,0.0030339805825243538,30.339805825243538,-6.064281382656134,1,7.402912621359223,1.3349514563106797,22.936893203884313,29.004854368932858,378.0,False,False,16490.0,16520.0,True,6.067961165048263,18.1928441479684,6.05326876513379
2007-10-24,2007-10-25,16530.0,16370.0,16430.0,16280.0,0.0036652412950519686,36.65241295051969,-96.79370840895318,1,7.452657299938912,1.3439218081857056,29.199755650580776,35.308491142333985,478.0,False,False,16330.0,16360.0,True,-24.434941967013124,18.37109614206911,42.78728606357029
2007-10-25,2007-10-26,16430.0,16280.0,16420.0,16490.0,0.008599508599508532,85.99508599508532,-91.2964090079127,1,7.493857493857494,1.3513513513513513,78.50122850122783,84.64373464373396,1278.0,False,False,16290.0,16350.0,True,6.142506142505777,36.83241252302017,42.81345565749328
2007-10-26,2007-10-29,16420.0,16490.0,16660.0,16730.0,0.010309278350515427,103.09278350515427,42.630937880634434,3,7.398423286840509,1.334141904184354,95.69436021831376,101.75864160096992,1578.0,False,False,16520.0,16490.0,True,18.1928441479684,-18.15980629539915,103.09278350515427
2007-10-29,2007-10-30,16660.0,16730.0,16640.0,16670.0,-0.005379557680812885,-53.79557680812886,42.016806722688926,1,7.292289300657502,1.315002988643156,-61.08786610878636,-55.110579796772015,-1022.0,False,False,16750.0,16740.0,True,11.95457262402888,-5.970149253731183,-59.73715651135025
2007-10-30,2007-10-31,16640.0,16670.0,16630.0,16710.0,-0.002399520095980767,-23.995200959807672,18.028846153845812,1,7.3185362927414515,1.319736052789442,-31.313737252549124,-25.314937012597113,-522.0,False,False,16670.0,16670.0,True,0.0,0.0,-23.995200959807672
2007-10-31,2007-11-01,16630.0,16710.0,16820.0,16910.0,0.006582884500299313,65.82884500299313,48.105832832230355,1,7.301017354877319,1.3165769000598442,58.52782764811582,64.51226810293329,978.0,False,False,16730.0,16700.0,True,11.968880909634105,-17.93185893604332,71.85628742514938
