regime,lo,hi,n,mean,ci_lo,ci_hi
2007-09-19..2011-02-13,2007-09-19,2011-02-14,787,-12.354033549158606,-21.606317703140025,-2.8647175841308408
2011-02-14..2016-07-18,2011-02-14,2016-07-19,1266,-2.3326817707235645,-7.569745187985091,2.8055642395036595
2016-07-19..2021-09-20,2016-07-19,2021-09-21,1200,-0.36334742983527674,-5.303431162274403,4.808260612651353
2021-09-21..2024-11-04,2021-09-21,2024-11-05,754,-1.0844188888505943,-7.294559251043899,5.026744237962775
2024-11-05..2026-08-26,2024-11-05,2026-08-27,442,7.257936887460052,-4.511962948999281,17.96981445381632
