regime,lo,hi,n,mean,ci_lo,ci_hi
2007-09-19..2011-02-13,2007-09-19,2011-02-14,787,-0.78456506521455,-10.039690834182936,8.793180326580584
2011-02-14..2016-07-18,2011-02-14,2016-07-19,1266,7.363625391914146,2.287220385804875,12.329903795123935
2016-07-19..2021-09-20,2016-07-19,2021-09-21,1200,5.225690254539643,0.3110404909633018,10.340374818753627
2021-09-21..2024-11-04,2021-09-21,2024-11-05,754,2.871648078773403,-3.305778646048579,8.928952450184905
2024-11-05..2026-08-26,2024-11-05,2026-08-27,442,9.893099841895376,-1.6990605566529247,20.54372166672257
