regime,label,n,mean,ci_lo,ci_hi,sd,t
2007-09-19..2011-02-13,(a) 引け→夜間寄り,783,-1.005348499954765,-3.0623216745865944,0.9025497703783268,30.980589694018214,-0.9080459699586916
2007-09-19..2011-02-13,(b) 夜間寄り→夜間引け,783,-1.5879881474060447,-6.259279533834684,2.2681384688255313,59.83694081396383,-0.7426065160342511
2007-09-19..2011-02-13,(c) 夜間引け→翌日中寄り,783,1.4559527594387527,-6.4006484815016425,9.030711416574077,128.78559896646757,0.3163449185233471
2011-02-14..2016-07-18,(a) 引け→夜間寄り,1265,1.9683259874127144,0.5059120390464249,3.405127483644645,25.933159120720706,2.699521957941256
2011-02-14..2016-07-18,(b) 夜間寄り→夜間引け,1265,2.9964959926853654,-1.5004326869601936,7.18884034748603,78.96747949618539,1.3496174587363128
2011-02-14..2016-07-18,(c) 夜間引け→翌日中寄り,1265,2.3520418486247725,-0.5363786022497784,5.265182140470147,60.09981398164819,1.391929308991835
2016-07-19..2021-09-20,(a) 引け→夜間寄り,1199,0.9243292650680621,-0.14907682304293704,1.9542601157772101,20.665740759302743,1.548764259108822
2016-07-19..2021-09-20,(b) 夜間寄り→夜間引け,1199,4.331041016422187,0.5942694716272621,8.071605181183442,74.02828883330922,2.025835500782938
2016-07-19..2021-09-20,(c) 夜間引け→翌日中寄り,1199,0.1806529450903254,-1.8547965477031887,2.0974396830713826,40.708210078994895,0.15366417566411011
2021-09-21..2024-11-04,(a) 引け→夜間寄り,754,-0.8792797143119473,-2.7420162906939742,0.7955972921217203,26.6928424353751,-0.9045194371280746
2021-09-21..2024-11-04,(b) 夜間寄り→夜間引け,754,3.280481173011807,-2.5662865421389682,9.28508909545036,84.68744183214139,1.063663381942388
2021-09-21..2024-11-04,(c) 夜間引け→翌日中寄り,754,0.4287250581219614,-2.6188148382619096,3.27192007903242,31.613893811497096,0.3723801740897685
2024-11-05..2026-08-26,(a) 引け→夜間寄り,442,1.9061484462997849,-0.7045760989610695,4.622408312429114,25.44979252679111,1.5746484423355285
2024-11-05..2026-08-26,(b) 夜間寄り→夜間引け,442,4.277435406687024,-3.3250024840401,11.535868862049309,110.71484505996533,0.8122481634935416
2024-11-05..2026-08-26,(c) 夜間引け→翌日中寄り,442,3.638221331802328,-2.2638796980726794,9.208887560223765,58.630134557148104,1.3046059643536874
