regime,lo,hi,n,mean,ci_lo,ci_hi
2007-09-19..2011-02-13,2007-09-19,2011-02-14,787,11.56946848394406,10.91315011477596,12.224918127332511
2011-02-14..2016-07-18,2011-02-14,2016-07-19,1266,9.696307162637709,9.020539048504482,10.404466938415107
2016-07-19..2021-09-20,2016-07-19,2021-09-21,1200,5.5890376843749205,5.401964208658032,5.779699166424021
2021-09-21..2024-11-04,2021-09-21,2024-11-05,754,3.9560669676239963,3.775394371132086,4.1228947841360775
2024-11-05..2026-08-26,2024-11-05,2026-08-27,442,2.6351629544353252,2.4088457660495366,2.85389091140446
