方策,位置,判断,件数
logistic_3択,1件目,止まる,94
logistic_3択,1件目,続く,49
logistic_3択,1件目,わからない,57
logistic_3択,連鎖の中,止まる,94
logistic_3択,連鎖の中,続く,81
logistic_3択,連鎖の中,わからない,43
logistic_2値0.5,1件目,止まる,129
logistic_2値0.5,1件目,続く,71
logistic_2値0.5,1件目,わからない,0
logistic_2値0.5,連鎖の中,止まる,23
logistic_2値0.5,連鎖の中,続く,195
logistic_2値0.5,連鎖の中,わからない,0
logistic_2値基準率,1件目,止まる,99
logistic_2値基準率,1件目,続く,101
logistic_2値基準率,1件目,わからない,0
logistic_2値基準率,連鎖の中,止まる,89
logistic_2値基準率,連鎖の中,続く,129
logistic_2値基準率,連鎖の中,わからない,0
規則,1件目,止まる,200
規則,1件目,続く,0
規則,1件目,わからない,0
規則,連鎖の中,止まる,0
規則,連鎖の中,続く,218
規則,連鎖の中,わからない,0
