方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
規則,B,2,0.000000,-4.645624,4.380949,0.490000,0.023213,1.137787,200,122,1.390000,60.000000,0.000000,0
完全な判断,A,0.500000,3.047251,-0.229597,9.362265,0.270000,5.687456,1.731523,200,122,1.000000,60.000000,0.000000,1
完全な判断,A,0.500000,3.047251,-0.229597,9.362265,0.270000,5.687456,1.731523,200,122,1.000000,60.000000,0.000000,0
完全な判断,A,1,2.875376,-0.450839,8.155242,0.285000,5.531694,1.724998,200,122,1.000000,60.000000,0.000000,1
完全な判断,A,1,2.875376,-0.450839,8.155242,0.285000,5.531694,1.724998,200,122,1.000000,60.000000,0.000000,0
完全な判断,A,2,2.648520,-0.538857,7.558108,0.290000,5.117197,1.661484,200,122,1.000000,60.000000,0.000000,1
完全な判断,A,2,2.648520,-0.538857,7.558108,0.290000,5.117197,1.661484,200,122,1.000000,60.000000,0.000000,0
完全な判断,B,0.500000,3.741756,-0.039613,14.406830,0.260000,9.129532,2.569953,200,122,1.390000,60.000000,0.000000,1
完全な判断,B,0.500000,3.741756,-0.039613,14.406830,0.260000,9.129532,2.569953,200,122,1.390000,60.000000,0.000000,0
完全な判断,B,1,3.697658,-0.370196,13.647713,0.280000,8.984162,2.579760,200,122,1.390000,60.000000,0.000000,1
完全な判断,B,1,3.697658,-0.370196,13.647713,0.280000,8.984162,2.579760,200,122,1.390000,60.000000,0.000000,0
完全な判断,B,2,3.280509,-0.450839,11.538695,0.285000,7.928275,2.436420,200,122,1.390000,60.000000,0.000000,1
完全な判断,B,2,3.280509,-0.450839,11.538695,0.285000,7.928275,2.436420,200,122,1.390000,60.000000,0.000000,0
全部逆張り,A,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
全部逆張り,A,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
全部逆張り,A,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
全部逆張り,A,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
全部逆張り,A,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
全部逆張り,A,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
全部逆張り,B,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
全部逆張り,B,0.500000,1.030894,-3.761390,5.547997,0.420000,0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
全部逆張り,B,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
全部逆張り,B,1,0.504322,-3.900983,5.309049,0.445000,0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
全部逆張り,B,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
全部逆張り,B,2,0.638283,-3.896059,4.826507,0.440000,0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
全部順張り,A,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
全部順張り,A,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
全部順張り,A,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
全部順張り,A,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
全部順張り,A,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
全部順張り,A,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
全部順張り,B,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,1
全部順張り,B,0.500000,-1.030894,-5.547997,3.761390,0.565000,-0.944299,0.922285,200,122,1.000000,60.000000,0.000000,0
全部順張り,B,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,1
全部順張り,B,1,-0.504322,-5.309049,3.900983,0.535000,-0.917697,0.921609,200,122,1.000000,60.000000,0.000000,0
全部順張り,B,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,1
全部順張り,B,2,-0.638283,-4.826507,3.896059,0.545000,-0.631478,0.910791,200,122,1.000000,60.000000,0.000000,0
