ts,oi,volume
2026-08-21 12:15:00+00:00,3015971683.0377,30651993.2146
2026-08-21 12:20:00+00:00,3015635806.0362,21631985.7195
2026-08-21 12:25:00+00:00,3014073898.6034,44360650.1778
2026-08-21 12:30:00+00:00,3016847305.235,21283974.4639
2026-08-21 12:35:00+00:00,3022641058.2081,31380956.3281
2026-08-21 12:40:00+00:00,3019179934.1537,98350899.2861
2026-08-21 12:45:00+00:00,3000968704.8605,116818120.4895
2026-08-21 12:50:00+00:00,2997343163.3682,43573029.5211
2026-08-21 12:55:00+00:00,2990571340.0464,36118675.1019
2026-08-21 13:00:00+00:00,2993948215.3833,19903740.8576
2026-08-21 13:05:00+00:00,3000085363.6131,28290982.6803
2026-08-21 13:10:00+00:00,2993903336.9394,31225246.8596
2026-08-21 13:15:00+00:00,2986541594.7455,30594894.746
2026-08-21 13:20:00+00:00,2988465565.5202,60746131.4351
2026-08-21 13:25:00+00:00,2996072297.6995,31003008.766
2026-08-21 13:30:00+00:00,2977324426.0722,38690803.0829
2026-08-21 13:35:00+00:00,2974819169.6692,134864180.3248
2026-08-21 13:40:00+00:00,2994300687.6479,229413526.6043
2026-08-21 13:45:00+00:00,2991410818.1303,108831184.6771
2026-08-21 13:50:00+00:00,2977322055.1354,121883023.9563
2026-08-21 13:55:00+00:00,2968555295.9001,133875617.0795
2026-08-21 14:00:00+00:00,2967956760.6991,53719894.1902
2026-08-21 14:05:00+00:00,2977824961.6912,141862258.6832
2026-08-21 14:10:00+00:00,2969242133.875,40368198.4863
2026-08-21 14:15:00+00:00,2980643491.6758,42398017.5314
2026-08-21 14:20:00+00:00,2985148226.4373,72648924.821
2026-08-21 14:25:00+00:00,2987364404.4026,101582784.5703
2026-08-21 14:30:00+00:00,2989892543.668,68299553.7025
2026-08-21 14:35:00+00:00,2984936354.3371,33361922.5798
2026-08-21 14:40:00+00:00,2993492298.4227,36910893.1874
2026-08-21 14:45:00+00:00,3001880452.5686,22749436.8086
2026-08-21 14:50:00+00:00,3011065365.4401,46912049.3007
2026-08-21 14:55:00+00:00,3009911909.1786,47782883.8267
2026-08-21 15:00:00+00:00,3011767077.7794,24494256.4766
2026-08-21 15:05:00+00:00,3016320773.6683,54023592.0196
2026-08-21 15:10:00+00:00,3017199270.5586,65397388.1641
2026-08-21 15:15:00+00:00,3010790438.2149,87551170.5071
2026-08-21 15:20:00+00:00,3009337990.6351,81534071.6808
2026-08-21 15:25:00+00:00,3019744676.5775,27676939.8092
2026-08-21 15:30:00+00:00,3016393383.7392,34697574.0506
2026-08-21 15:35:00+00:00,3012855664.4867,25476479.2404
2026-08-21 15:40:00+00:00,3014757978.7401,31487853.9157
2026-08-21 15:45:00+00:00,3011006419.2897,19120411.2563
2026-08-21 15:50:00+00:00,3005760237.2546,30408647.855
2026-08-21 15:55:00+00:00,3000898330.5829,22360351.1761
2026-08-21 16:00:00+00:00,2995569857.3701,40521069.3444
2026-08-21 16:05:00+00:00,2987574475.1218,52874433.9807
2026-08-21 16:10:00+00:00,2985122437.0945,55892748.608
2026-08-21 16:15:00+00:00,2996098248.7286,53234573.9902
2026-08-21 16:20:00+00:00,2991805117.7031,72323484.1005
2026-08-21 16:25:00+00:00,2993739839.5762,45971916.1492
2026-08-21 16:30:00+00:00,2994411673.2735,31526863.3868
2026-08-21 16:35:00+00:00,2993016758.1292,25082186.5646
2026-08-21 16:40:00+00:00,2995705390.7745,16653261.4798
2026-08-21 16:45:00+00:00,2997982247.6786,14841266.0589
2026-08-21 16:50:00+00:00,3001566848.094,31399234.5907
2026-08-21 16:55:00+00:00,3001965730.125,38253038.0758
2026-08-21 17:00:00+00:00,3005888989.0668,16660933.9083
2026-08-21 17:05:00+00:00,3006610364.4227,32479471.5799
2026-08-21 17:10:00+00:00,3005518224.2424,52804503.6796
2026-08-21 17:15:00+00:00,2997934122.4729,31508556.9231
2026-08-21 17:20:00+00:00,2990308040.6012,42910657.2182
2026-08-21 17:25:00+00:00,3000132621.1996,33279799.898
2026-08-21 17:30:00+00:00,3003848380.9689,30497178.1963
2026-08-21 17:35:00+00:00,3006486089.6635,28521382.1723
2026-08-21 17:40:00+00:00,2995517024.4839,21951731.2548
2026-08-21 17:45:00+00:00,2993597344.2661,22998446.0917
2026-08-21 17:50:00+00:00,2993290144.1862,20061577.436
2026-08-21 17:55:00+00:00,2996449733.2728,10069235.101
2026-08-21 18:00:00+00:00,2996264646.5863,11257529.6095
2026-08-21 18:05:00+00:00,2996843236.8501,20539272.1244
2026-08-21 18:10:00+00:00,2997791408.7538,18022499.8892
2026-08-21 18:15:00+00:00,2996029058.5007,18416701.2069
2026-08-21 18:20:00+00:00,2999035094.3185,10757480.8791
2026-08-21 18:25:00+00:00,2998211455.0747,10667279.0999
2026-08-21 18:30:00+00:00,2995198506.3164,9886019.5558
2026-08-21 18:35:00+00:00,2988336186.2265,10744696.8877
2026-08-21 18:40:00+00:00,2980661541.9848,27440624.1058
2026-08-21 18:45:00+00:00,2964921905.3686,49909740.0438
2026-08-21 18:50:00+00:00,2970512815.8991,124205686.9652
2026-08-21 18:55:00+00:00,2974092339.6298,46289257.2649
2026-08-21 19:00:00+00:00,2977163871.7022,31008718.9916
2026-08-21 19:05:00+00:00,2969048604.8329,25500269.5533
2026-08-21 19:10:00+00:00,2976679562.9362,24037274.9895
2026-08-21 19:15:00+00:00,2969302624.4911,17672086.0581
2026-08-21 19:20:00+00:00,2971013852.4496,22371870.6022
2026-08-21 19:25:00+00:00,2971844625.2564,19685658.755
2026-08-21 19:30:00+00:00,2971938475.9799,24419595.9589
2026-08-21 19:35:00+00:00,2971214992.9839,22615848.7421
2026-08-21 19:40:00+00:00,2971123579.7973,16290932.4037
2026-08-21 19:45:00+00:00,2973533764.1666,12427099.1525
2026-08-21 19:50:00+00:00,2969186183.0107,15079815.4224
2026-08-21 19:55:00+00:00,2966872866.0914,11440498.0341
2026-08-21 20:00:00+00:00,2960487615.8867,20817454.3849
2026-08-21 20:05:00+00:00,2961588252.5768,36964743.4634
2026-08-21 20:10:00+00:00,2968194891.7039,28285210.6082
2026-08-21 20:15:00+00:00,2970279631.6248,22246486.6777
2026-08-21 20:20:00+00:00,2968597977.5119,45665355.0085
2026-08-21 20:25:00+00:00,2966932207.7307,30969043.0296
2026-08-21 20:30:00+00:00,2968696318.5126,8428485.467
2026-08-21 20:35:00+00:00,2964976073.9941,11986454.7299
2026-08-21 20:40:00+00:00,2965895347.3693,15838837.7851
2026-08-21 20:45:00+00:00,2957039668.7042,8063728.7992
2026-08-21 20:50:00+00:00,2961653634.2112,16473055.5579
2026-08-21 20:55:00+00:00,2958984688.1314,11496906.1381
2026-08-21 21:00:00+00:00,2958495911.9087,6288721.0708
2026-08-21 21:05:00+00:00,2956603289.6393,9484987.1555
2026-08-21 21:10:00+00:00,2962642704.5086,5263760.8971
2026-08-21 21:15:00+00:00,2964265279.8195,55935135.8789
2026-08-21 21:20:00+00:00,2971295701.9145,11960815.984
2026-08-21 21:25:00+00:00,2963330961.7548,98969351.5553
2026-08-21 21:30:00+00:00,2970913896.9076,79544940.1978
2026-08-21 21:35:00+00:00,2963900549.8928,106096520.1205
2026-08-21 21:40:00+00:00,2964083119.8752,46855761.6973
2026-08-21 21:45:00+00:00,2970583766.525,21716043.1415
2026-08-21 21:50:00+00:00,2982048188.6566,32891192.3795
2026-08-21 21:55:00+00:00,2990721486.6517,78455135.0421
2026-08-21 22:00:00+00:00,2991696397.5871,49539390.0828
2026-08-21 22:05:00+00:00,2991361444.3685,42151137.6681
2026-08-21 22:10:00+00:00,2988966569.7222,65139628.8949
2026-08-21 22:15:00+00:00,2986857076.3679,32058421.6879
2026-08-21 22:20:00+00:00,2984997786.543,39165591.4199
2026-08-21 22:25:00+00:00,2986994947.5306,29964932.029
2026-08-21 22:30:00+00:00,2980266572.8855,15351679.8298
2026-08-21 22:35:00+00:00,2986256903.5378,54299911.4127
