timestamp,open,high,low,close,volume
2026-07-30 00:00:00+00:00,175.28,175.291,175.28,175.291,2.2997
2026-07-30 00:01:00+00:00,175.292,175.292,175.242,175.242,128.353
2026-07-30 00:02:00+00:00,175.2,175.2,175.136,175.136,30.7898
2026-07-30 00:03:00+00:00,175.136,175.136,175.136,175.136,0.0
2026-07-30 00:04:00+00:00,175.122,175.122,175.122,175.122,285.173
2026-07-30 00:05:00+00:00,175.135,175.135,175.135,175.135,1.0737
2026-07-30 00:06:00+00:00,175.226,175.28,175.226,175.28,22.4371
2026-07-30 00:07:00+00:00,175.312,175.313,175.312,175.313,150.2086
2026-07-30 00:08:00+00:00,175.313,175.397,175.313,175.345,5893.8998
2026-07-30 00:09:00+00:00,175.36,175.36,175.29,175.29,176.68
2026-07-30 00:10:00+00:00,175.29,175.29,175.29,175.29,0.0
2026-07-30 00:11:00+00:00,175.319,175.319,175.319,175.319,123.0
2026-07-30 00:12:00+00:00,175.399,175.399,175.399,175.399,173.6825
2026-07-30 00:13:00+00:00,175.418,175.495,175.418,175.471,789.7368
2026-07-30 00:14:00+00:00,175.502,175.502,175.502,175.502,2000.0
2026-07-30 00:15:00+00:00,175.479,175.702,175.433,175.702,14636.6058
2026-07-30 00:16:00+00:00,175.701,175.701,175.625,175.625,6186.9849
2026-07-30 00:17:00+00:00,175.602,175.602,175.601,175.601,558.7279
2026-07-30 00:18:00+00:00,175.601,175.601,175.601,175.601,0.0
2026-07-30 00:19:00+00:00,175.645,175.645,175.6,175.6,41.9818
2026-07-30 00:20:00+00:00,175.538,175.538,175.489,175.489,497.4271
2026-07-30 00:21:00+00:00,175.489,175.489,175.489,175.489,28.4576
2026-07-30 00:22:00+00:00,175.532,175.532,175.53,175.53,1290.853
2026-07-30 00:23:00+00:00,175.551,175.551,175.551,175.551,442.014
2026-07-30 00:24:00+00:00,175.551,175.565,175.55,175.565,140.5183
2026-07-30 00:25:00+00:00,175.565,175.565,175.485,175.485,1601.4789
2026-07-30 00:26:00+00:00,175.485,175.485,175.485,175.485,0.0
2026-07-30 00:27:00+00:00,175.519,175.519,175.44,175.44,2431.8308
2026-07-30 00:28:00+00:00,175.44,175.44,175.44,175.44,0.0
2026-07-30 00:29:00+00:00,175.416,175.46,175.416,175.46,25472.9735
2026-07-30 00:30:00+00:00,175.519,175.519,175.412,175.412,10499.6811
2026-07-30 00:31:00+00:00,175.412,175.412,175.342,175.342,24030.4898
2026-07-30 00:32:00+00:00,175.341,175.341,175.138,175.138,3527.0618
2026-07-30 00:33:00+00:00,175.219,175.219,175.219,175.219,674.0813
2026-07-30 00:34:00+00:00,175.219,175.219,175.219,175.219,0.0
2026-07-30 00:35:00+00:00,175.222,175.222,175.219,175.219,4364.2399
2026-07-30 00:36:00+00:00,175.219,175.219,175.219,175.219,0.0
2026-07-30 00:37:00+00:00,175.136,175.136,175.082,175.082,338.2871
2026-07-30 00:38:00+00:00,175.082,175.082,175.055,175.055,193.1751
2026-07-30 00:39:00+00:00,175.055,175.055,175.055,175.055,0.0
2026-07-30 00:40:00+00:00,175.082,175.082,175.055,175.056,81.0
2026-07-30 00:41:00+00:00,175.056,175.056,175.056,175.056,75.9545
2026-07-30 00:42:00+00:00,175.056,175.056,174.974,174.974,5864.968
2026-07-30 00:43:00+00:00,174.961,174.961,174.961,174.961,0.5715
2026-07-30 00:44:00+00:00,174.96,174.96,174.794,174.794,2825.3759
2026-07-30 00:45:00+00:00,174.794,174.794,174.794,174.794,0.0
2026-07-30 00:46:00+00:00,174.795,174.795,174.795,174.795,1353.4131
2026-07-30 00:47:00+00:00,174.795,174.795,174.795,174.795,0.0
2026-07-30 00:48:00+00:00,174.809,174.809,174.809,174.809,1.0749
2026-07-30 00:49:00+00:00,174.879,174.879,174.847,174.847,737.383
2026-07-30 00:50:00+00:00,174.797,174.797,174.768,174.768,12575.526
2026-07-30 00:51:00+00:00,174.72,174.72,174.7,174.711,12006.7733
2026-07-30 00:52:00+00:00,174.718,174.719,174.718,174.719,419.2507
2026-07-30 00:53:00+00:00,174.718,174.718,174.64,174.64,24959.594
2026-07-30 00:54:00+00:00,174.619,174.636,174.604,174.636,4050.6792
2026-07-30 00:55:00+00:00,174.635,174.635,174.566,174.566,31.3848
2026-07-30 00:56:00+00:00,174.566,174.566,174.566,174.566,0.0
2026-07-30 00:57:00+00:00,174.566,174.566,174.566,174.566,0.0
2026-07-30 00:58:00+00:00,174.593,174.669,174.593,174.669,9051.2516
2026-07-30 00:59:00+00:00,174.678,174.72,174.678,174.72,81670.7804
