ts,open,high,low,close,volume,buy_vol,sell_vol,trades
2026-07-30 03:28:00+00:00,10481494.0,10482508.0,10480308.0,10482508.0,0.165,0.037,0.128,5
2026-07-30 03:29:00+00:00,10483621.0,10483621.0,10480606.0,10480606.0,0.125,0.01,0.115,10
2026-07-30 03:30:00+00:00,10480111.0,10480111.0,10472770.0,10475147.0,0.9989342600000001,0.094,0.90493426,11
2026-07-30 03:31:00+00:00,10471063.0,10472960.0,10471063.0,10472211.0,0.309,0.026000000000000002,0.28300000000000003,6
2026-07-30 03:32:00+00:00,10472924.0,10472924.0,10466040.0,10466904.0,0.27511721,0.15847852,0.11663869,19
2026-07-30 03:33:00+00:00,10468621.0,10475683.0,10468621.0,10473526.0,1.03128817,0.98228817,0.049,24
2026-07-30 03:34:00+00:00,10472748.0,10474623.0,10467864.0,10474623.0,3.4991027399999997,0.17749664,3.3216061,36
2026-07-30 03:35:00+00:00,10472939.0,10473224.0,10469756.0,10473174.0,0.2852052,0.0532052,0.232,16
2026-07-30 03:36:00+00:00,10473806.0,10476360.0,10466607.0,10466778.0,2.30038011,0.4559182,1.8444619100000001,66
2026-07-30 03:37:00+00:00,10466837.0,10468680.0,10466837.0,10468680.0,0.21139999999999998,0.21139999999999998,0.0,14
2026-07-30 03:38:00+00:00,10468680.0,10470060.0,10468680.0,10468689.0,0.24858456,0.041,0.20758456,11
2026-07-30 03:39:00+00:00,10469579.0,10470060.0,10467375.0,10469024.0,0.31140866,0.28540866,0.026000000000000002,14
2026-07-30 03:40:00+00:00,10468055.0,10472298.0,10465549.0,10472298.0,0.37818864,0.31588864,0.0623,17
2026-07-30 03:41:00+00:00,10470536.0,10471305.0,10470536.0,10471305.0,0.17452985999999998,0.03,0.14452986,3
2026-07-30 03:42:00+00:00,10470800.0,10471868.0,10470656.0,10470656.0,0.07541359,0.047313589999999996,0.0281,4
2026-07-30 03:43:00+00:00,10472306.0,10472339.0,10471427.0,10471427.0,0.20107362,0.14505872000000003,0.0560149,5
2026-07-30 03:44:00+00:00,10472727.0,10473209.0,10471008.0,10472230.0,1.10941818,0.1658969,0.9435212799999999,28
2026-07-30 03:45:00+00:00,10473687.0,10477978.0,10473681.0,10474149.0,1.36425082,0.79717566,0.56707516,48
2026-07-30 03:46:00+00:00,10474586.0,10474586.0,10474586.0,10474586.0,0.0086,0.0,0.0086,1
2026-07-30 03:47:00+00:00,10475059.0,10480111.0,10475059.0,10478473.0,0.26760154,0.17039154,0.09721,19
2026-07-30 03:48:00+00:00,10478158.0,10478868.0,10474068.0,10478846.0,0.13286756,0.016,0.11686756000000001,7
2026-07-30 03:49:00+00:00,10480526.0,10480549.0,10478223.0,10478223.0,0.034,0.024,0.01,4
2026-07-30 03:50:00+00:00,10477707.0,10478144.0,10475191.0,10476909.0,0.08360000000000001,0.021400000000000002,0.062200000000000005,10
2026-07-30 03:51:00+00:00,10480607.0,10481781.0,10479211.0,10479959.0,0.38217248000000004,0.118,0.26417248,21
2026-07-30 03:52:00+00:00,10480373.0,10482037.0,10480336.0,10480992.0,0.30195958,0.20462416,0.09733541999999999,13
2026-07-30 03:53:00+00:00,10482365.0,10482365.0,10478583.0,10478676.0,0.04,0.02,0.02,5
2026-07-30 03:54:00+00:00,10477960.0,10477960.0,10477960.0,10477960.0,0.08432416000000001,0.08432416000000001,0.0,2
2026-07-30 03:55:00+00:00,10479316.0,10479405.0,10479316.0,10479405.0,0.015,0.015,0.0,3
2026-07-30 03:56:00+00:00,10478984.0,10479034.0,10478386.0,10478386.0,0.00921,0.0,0.00921,4
