ts,open,high,low,close,volume
2026-07-30 01:28:00+00:00,311598.0,311598.0,311598.0,311598.0,0.0467362
2026-07-30 01:29:00+00:00,311598.0,311598.0,311598.0,311598.0,0.0
2026-07-30 01:30:00+00:00,311598.0,311668.0,311598.0,311668.0,0.034985
2026-07-30 01:31:00+00:00,311598.0,311668.0,311598.0,311668.0,0.0
2026-07-30 01:32:00+00:00,312200.0,312292.0,312200.0,312292.0,15.709453799999999
2026-07-30 01:33:00+00:00,312292.0,312396.0,312138.0,312396.0,5.2249998
2026-07-30 01:34:00+00:00,312400.0,312500.0,312400.0,312500.0,2.0750748
2026-07-30 01:35:00+00:00,312566.0,313000.0,312566.0,313000.0,11.322263
2026-07-30 01:36:00+00:00,313000.0,313139.0,313000.0,313139.0,1.5140500000000001
2026-07-30 01:37:00+00:00,312479.0,312479.0,312479.0,312479.0,0.033
2026-07-30 01:38:00+00:00,312479.0,312479.0,312479.0,312479.0,0.0
2026-07-30 01:39:00+00:00,312479.0,312479.0,312479.0,312479.0,0.0
2026-07-30 01:40:00+00:00,312322.0,312500.0,312322.0,312500.0,0.5216724
2026-07-30 01:41:00+00:00,312669.0,312671.0,312669.0,312671.0,1.0
2026-07-30 01:42:00+00:00,312818.0,312818.0,312818.0,312818.0,0.519168
2026-07-30 01:43:00+00:00,312916.0,312916.0,312916.0,312916.0,0.150054
2026-07-30 01:44:00+00:00,312918.0,313076.0,312778.0,313030.0,20.0100001
2026-07-30 01:45:00+00:00,312579.0,312730.0,312536.0,312730.0,1.5579880000000002
2026-07-30 01:46:00+00:00,313300.0,313842.0,313300.0,313624.0,5.6574419
2026-07-30 01:47:00+00:00,313300.0,313842.0,313300.0,313624.0,0.0
2026-07-30 01:48:00+00:00,313177.0,313365.0,313122.0,313122.0,0.3200002
2026-07-30 01:49:00+00:00,313177.0,313365.0,313122.0,313122.0,0.0
2026-07-30 01:50:00+00:00,313177.0,313365.0,313122.0,313122.0,0.0
2026-07-30 01:51:00+00:00,313352.0,313352.0,313352.0,313352.0,0.01
2026-07-30 01:52:00+00:00,313352.0,313352.0,313352.0,313352.0,0.0
2026-07-30 01:53:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0150069
2026-07-30 01:54:00+00:00,313537.0,313537.0,313425.0,313441.0,7.9
2026-07-30 01:55:00+00:00,313537.0,313574.0,313537.0,313574.0,0.6
2026-07-30 01:56:00+00:00,313537.0,313574.0,313537.0,313574.0,0.0
2026-07-30 01:57:00+00:00,313537.0,313574.0,313537.0,313574.0,0.0
2026-07-30 01:58:00+00:00,313137.0,313137.0,313137.0,313137.0,2.0
2026-07-30 01:59:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:00:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:01:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:02:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:03:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:04:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:05:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:06:00+00:00,313137.0,313137.0,313137.0,313137.0,0.0
2026-07-30 02:07:00+00:00,313205.0,313208.0,313205.0,313208.0,0.578682
2026-07-30 02:08:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:09:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:10:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:11:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:12:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:13:00+00:00,313205.0,313208.0,313205.0,313208.0,0.0
2026-07-30 02:14:00+00:00,313208.0,313208.0,313208.0,313208.0,0.184
2026-07-30 02:15:00+00:00,313208.0,313208.0,313208.0,313208.0,0.0
2026-07-30 02:16:00+00:00,313208.0,313208.0,313208.0,313208.0,0.0
