kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,bundle_n_events,bundle_total_qty,bundle_n_events_dedup,bundle_total_qty_dedup
control,1687652042607,,,30580.0,,30580.0,63.6364,-7.64,42.4219,0.122572,-7.1423,11,2824664.0,2023-06-25,,,,
control,1687652928078,,,30493.4,,30493.4,72.7273,10.7272,-29.2158,0.140983,22.7376,11,2784052.0,2023-06-25,,,,
control,1687654560032,,,30511.3,,30511.3,90.9091,4.8542,-25.1004,0.22425,18.1912,11,2725804.0,2023-06-25,,,,
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,36.3636,-24.4724,-64.275,0.072767,-22.621,11,2584526.0,2023-06-25,2,50.0,2,50.0
control,1687657850206,,,30615.9,,30615.9,54.5455,-29.3276,-59.1799,0.120976,-16.6293,11,2632705.0,2023-06-25,,,,
control,1687658006928,,,30620.0,,30620.0,54.5455,-30.6627,-60.511,0.121712,-17.9672,11,2630076.0,2023-06-25,,,,
control,1687658631069,,,30627.3,,30627.3,63.6364,-33.0389,-62.88,0.113349,-20.8773,11,2496289.0,2023-06-25,,,,
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,36.3636,-45.0976,14.7813,0.063357,-34.5354,11,2399164.0,2023-06-25,1,10.0,1,10.0
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,30.0,-47.8563,-87.5655,0.047772,-37.2505,10,2423308.0,2023-06-25,1,2.0,1,2.0
control,1687661639050,,,30654.6,,30654.6,54.5455,-41.9151,17.983,0.105234,-30.6016,11,2467390.0,2023-06-25,,,,
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,25.0,-58.1958,11.6059,0.01314,-46.5167,12,2474593.0,2023-06-25,1,2.0,1,2.0
liq,1687663686420,BUY,3.0,30711.0,30711.0,30710.8,25.0,-60.2029,9.5848,0.022235,-48.1845,12,2486163.0,2023-06-25,2,151.0,2,151.0
control,1687664066238,,,30726.2,,30726.2,16.6667,-65.12,-94.8652,0.014812,-52.1926,12,2527398.0,2023-06-25,,,,
liq,1687665095016,BUY,3.0,30755.0,30755.0,30755.0,16.6667,-74.4234,-104.1407,0.02717,-61.0662,12,2506675.0,2023-06-25,2,22.0,2,22.0
liq,1687665746391,BUY,2.0,30788.3,30788.3,30788.3,0.0,-85.1587,4.4327,0.00018,-70.3014,14,2551543.0,2023-06-25,5,217.0,5,217.0
liq,1687666294629,BUY,2.0,30894.7,30894.7,30894.6,5.8824,-119.305,-0.0823,0.003655,-98.7754,17,2707653.0,2023-06-25,1,2.0,1,2.0
liq,1687666606879,BUY,2.0,30933.0,30933.0,30932.9,11.1111,-131.5388,-161.0851,0.006338,-107.1576,18,2807141.0,2023-06-25,1,2.0,1,2.0
liq,1687666716470,BUY,80.0,30940.4,30940.4,30940.3,26.3158,-133.8991,5.1278,0.017989,-108.0078,19,2839726.0,2023-06-25,1,80.0,1,80.0
liq,1687667519039,BUY,5.0,30970.5,30970.5,30970.5,36.8421,-143.4879,-172.9984,0.032733,-109.0651,19,3045443.0,2023-06-25,3,22.0,3,22.0
liq,1687667671953,BUY,20.0,30990.1,30990.1,30990.1,15.0,-149.7217,-179.2136,0.014371,-111.9383,20,3135500.0,2023-06-25,1,20.0,1,20.0
liq,1687667792230,BUY,6.0,31036.5,31036.5,31036.4,0.0,-154.6125,4.1007,0.001674,-123.6401,22,3223038.0,2023-06-25,2,8.0,2,8.0
liq,1687668014816,BUY,1.0,31044.7,31044.7,31044.6,18.1818,-157.213,-78.1945,0.015807,-121.6887,22,3331182.0,2023-06-25,1,1.0,1,1.0
liq,1687668800357,SELL,12.0,30880.0,30880.0,30880.0,59.0909,-104.716,-25.2761,0.044743,-59.237,22,3595093.0,2023-06-25,1,12.0,1,12.0
