month,mean,std,count
1,-9.023462501050469,70.17892804565844,246
2,-12.220966041086733,97.45026326616089,248
3,-2.3451375677613777,182.87527364125444,276
4,-0.532769652594517,129.89454105527093,252
5,-19.005073833654997,67.70781900639399,231
6,-9.813314878362277,66.30477885331095,256
7,-6.979488271538039,54.50492865677898,250
8,-14.944618126090388,57.712896887945746,259
9,-9.01182471281111,54.25402946915073,228
10,-9.735954902162096,57.093860985944765,251
11,-4.735093740432737,45.921343721348194,234
12,-5.694389850322105,43.33441805905276,245
