weekday,mean,std,count
0,-11.822553153720273,84.81233421988584,553
1,-9.350793099231781,72.39500096036637,606
2,-12.075252964902328,69.6321414322304,608
3,-2.264671880833274,101.9434943650974,608
4,-7.701210393986072,106.71768156958413,601
