ex_date,amount,record_date,ex_date_effective,is_non_trading_record_date
2013-02-10,9.3,2013-02-10,2013-02-06,True
2013-05-10,18.7,2013-05-10,2013-05-08,False
2013-08-10,11.2,2013-08-10,2013-08-07,True
2013-11-10,10.5,2013-11-10,2013-11-06,True
2014-02-10,13.1,2014-02-10,2014-02-06,False
2014-05-10,11.0,2014-05-10,2014-05-07,True
2014-08-10,14.0,2014-08-10,2014-08-06,True
2014-11-10,12.0,2014-11-10,2014-11-06,False
2015-02-10,13.2,2015-02-10,2015-02-06,False
2015-05-10,12.5,2015-05-10,2015-05-01,True
2015-08-10,13.3,2015-08-10,2015-08-06,False
2015-11-10,12.8,2015-11-10,2015-11-06,False
2016-02-10,15.0,2016-02-10,2016-02-08,False
2016-05-10,13.5,2016-05-10,2016-05-06,False
2016-08-10,13.1,2016-08-10,2016-08-08,False
2016-11-10,13.0,2016-11-10,2016-11-08,False
2017-02-10,16.4,2017-02-10,2017-02-08,False
2017-05-10,15.0,2017-05-10,2017-05-08,False
2017-08-10,14.3,2017-08-10,2017-08-08,False
2017-11-10,15.8,2017-11-10,2017-11-08,False
2018-02-10,17.3,2018-02-10,2018-02-07,True
2018-05-10,15.9,2018-05-10,2018-05-08,False
2018-08-10,15.7,2018-08-10,2018-08-08,False
2018-11-10,16.4,2018-11-10,2018-11-07,True
2019-02-10,18.8,2019-02-10,2019-02-06,True
2019-05-10,17.4,2019-05-10,2019-05-08,False
2019-08-10,16.1,2019-08-10,2019-08-08,True
2019-11-10,16.5,2019-11-10,2019-11-07,True
2020-02-10,19.2,2020-02-10,2020-02-07,False
2020-05-10,18.1,2020-05-10,2020-05-07,True
2020-08-10,17.1,2020-08-10,2020-08-06,True
2020-11-10,18.8,2020-11-10,2020-11-09,False
2021-02-10,16.6,2021-02-10,2021-02-09,False
