t_date,t1_date,close_t,lot_units,notional_yen,fee_yen_per_execution,fee_bps_roundtrip,cost_conservative_bps,cost_conservative_plus_oldfee_bps,r_night_used_bps,net_conservative_plus_oldfee_bps
2009-01-05,2009-01-06,935.0,107.0,100045.0,99.0,19.791094007696536,21.390374331550802,41.18146833924734,-53.47593582887722,-94.65740416812456
2009-01-06,2009-01-07,943.0,106.0,99958.0,55.0,11.00462194121531,21.208907741251327,32.213529682466636,10.604453870626251,-21.609075811840384
2009-01-07,2009-01-08,952.0,105.0,99960.0,55.0,11.004401760704283,21.008403361344538,32.01280512204882,-10.504201680672232,-42.51700680272105
2009-01-08,2009-01-09,929.0,108.0,100332.0,99.0,19.73448152134912,21.52852529601722,41.263006817366346,-96.87836383207804,-138.14137064944438
2009-01-09,2009-01-13,920.0,109.0,100280.0,99.0,19.744714798564022,21.73913043478261,41.48384523334663,-532.6086956521737,-574.0925408855203
2009-01-13,2009-01-14,871.0,115.0,100165.0,99.0,19.76738381670244,22.962112514351322,42.72949633105377,-160.73478760045944,-203.4642839315132
2009-01-14,2009-01-15,854.0,117.0,99918.0,55.0,11.009027402470025,23.4192037470726,34.428231149542626,-93.6768149882905,-128.10504613783314
2009-01-15,2009-01-16,847.0,118.0,99946.0,55.0,11.005943209333038,23.612750885478157,34.6186940948112,23.612750885477762,-11.005943209333434
2009-01-16,2009-01-19,850.0,118.0,100300.0,99.0,19.740777666999005,23.52941176470588,43.270189431704885,35.29411764705781,-7.9760717846470754
2009-01-19,2009-01-20,853.0,117.0,99801.0,55.0,11.02193364795944,23.446658851113714,34.468592499073154,-257.9132473622514,-292.3818398613246
2009-01-20,2009-01-21,836.0,120.0,100320.0,99.0,19.736842105263158,23.923444976076553,43.66028708133971,-59.80861244019087,-103.46889952153057
2009-01-21,2009-01-22,847.0,118.0,99946.0,55.0,11.005943209333038,23.612750885478157,34.6186940948112,47.225501770955525,12.606807676144328
2009-01-22,2009-01-23,895.0,112.0,100240.0,99.0,19.752593774940145,22.3463687150838,42.09896249002394,145.2513966480451,103.15243415802115
