table_id	file	A	B
current_1	表_452dsx.md	new_impl	current_impl
current_2	表_yty94q.md	current_impl	new_impl
survey_1	表_p0auxj.md	new_impl	survey_best
survey_2	表_klqe5z.md	survey_best	new_impl
mutant_1	表_oor8ct.md	new_impl	mutant
mutant_2	表_bc7rbo.md	mutant	new_impl
