cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_000000,2023-06-25,1687656471926,1687656473356,1430,short,2,False,,True,time_resolution,1687656479381,30631.5,1687656418754,30583.1,6025,15.825733820313001,-15.825733820313001,-13.692007291813873,-15.820464000520722,-15.819689027021859,-15.831416959304677,-15.949832909931175
binance_cm_real_000001,2023-06-25,1687659729506,1687659729506,0,short,1,False,,True,time_resolution,1687659778677,30652.3,1687659714196,30647.4,49171,1.5988305696397793,-4.698108600978374,0.06576956070845164,-4.797394080647643,-0.7182126341014721,-3.2642756954782186,-1.6085897459358307
binance_cm_real_000002,2023-06-25,1687660479390,1687660479390,0,short,1,False,,True,time_resolution,1687660497671,30673.2,1687660439845,30659.0,18281,4.631592680779128,0.7802978295029899,-1.4686793318733047,-4.629357909980009,-4.627651632275276,-4.6721973262710605,-4.082601285222438
binance_cm_real_000003,2023-06-25,1687662893225,1687662893225,0,short,1,False,,True,time_resolution,1687662899966,30703.2,1687662839151,30699.7,6741,1.1400762873904307,-4.266786206878361,-0.6829058149693221,-3.3557574511511286,-1.1408969082361837,-3.1335867964396797,-1.1446992419287199
binance_cm_real_000004,2023-06-25,1687663686420,1687663697070,10650,short,2,False,,True,time_resolution,1687663739958,30728.2,1687663676924,30704.8,42888,7.620958286652725,-9.833909256771141,-8.858053779552037,-9.280522707120355,-9.483446653563014,8.57995319635559,-7.657345867229033
binance_cm_real_000005,2023-06-25,1687665095016,1687665128467,33451,short,2,False,,False,,1687665176688,30769.9,1687665119306,30758.0,48221,3.868912152936295,-1.9514538576549272,-3.8689750213913907,-3.880190753780571,-11.496027328269285,-3.884666987783433,-3.860475206262368
binance_cm_real_000006,2023-06-25,1687665746391,1687665853193,106802,short,5,False,,False,,1687665899906,30859.6,1687665839252,30862.1,46713,-0.8100550513412892,2.3654867484478332,-0.29183506597146325,2.5622886829066935,9.367126484795119,0.7149851702573464,6.185728378315233
binance_cm_real_000007,2023-06-25,1687666294629,1687666294629,0,short,1,False,,True,time_resolution,1687666318337,30895.8,1687666254007,30869.3,23708,8.584580797102623,-15.93185777326143,-8.58213566504537,-8.58847077992098,-8.623174983779052,-8.582052308270692,-8.544819615580685
binance_cm_real_000008,2023-06-25,1687666606879,1687666606879,0,short,1,False,,True,time_resolution,1687666619919,30925.7,1687666555621,30887.0,13040,12.52954317350365,-12.173851952286817,-3.0520217789656634,-9.89285528220751,-12.547774917419156,-19.76695673203105,-12.456292077949804
binance_cm_real_000009,2023-06-25,1687666716470,1687666716470,0,short,1,False,,True,time_resolution,1687666737965,30950.0,1687666679502,30926.8,21495,7.501584386357699,-5.75683479023445,-7.495209857460728,-7.50866181007601,-7.493513214788532,-9.810514474922057,-7.445522464917815
binance_cm_real_000010,2023-06-25,1687667519039,1687667535991,16952,short,3,False,,False,,1687667579183,30979.2,1687667519394,30970.5,43192,2.8091248123216372,-14.397545430026888,-2.8118179421289256,-2.805198464824816,3.4580290143555725,-4.189127925833354,-2.7879968916112574
binance_cm_real_000011,2023-06-25,1687667671953,1687667671953,0,short,1,False,,True,time_resolution,1687667699008,30969.7,1687667638842,30943.3,27055,8.531733848684999,-8.531733848684999,-8.551265840595537,-8.065381349734047,-8.620778907522833,-8.501843564872683,-8.466801683758149
binance_cm_real_000012,2023-06-25,1687667792230,1687667793944,1714,short,2,False,,True,time_resolution,1687667819981,31008.9,1687667759999,30959.2,26037,16.053386392413476,-20.632716842703786,-22.871241181488422,-16.285228799429333,-27.142156956164634,-20.922119647616665,-15.914486800067905
binance_cm_real_000013,2023-06-25,1687668014816,1687668014816,0,short,1,False,,True,time_resolution,1687668053076,31034.7,1687667999865,31027.4,38260,2.3527591741490657,-2.3527591741490657,-2.3459665445440194,-2.340788680682131,-2.339113266460352,-2.341114666254697,-2.330804424889905
binance_cm_real_000014,2023-06-25,1687668800357,1687668800357,0,long,1,False,,True,time_resolution,1687668839428,30867.5,1687668779146,30891.2,39071,-7.672087843787463,10.684965465881664,16.774047337810092,7.679966848716532,14.153855193577808,10.814551600165768,9.487845320050745
binance_cm_real_000015,2023-06-25,1687670378099,1687670380489,2390,long,2,False,,True,time_resolution,1687670398335,30846.4,1687670333067,30871.0,17846,-7.96864371092564,7.96864371092564,-2.100395112754419,7.972467039642174,9.793933058316963,7.95833622337228,7.93485375172817
binance_cm_real_000016,2023-06-25,1687672990202,1687672990202,0,long,1,False,,True,time_resolution,1687673037456,30785.5,1687672979933,30830.2,47254,-14.498770685886154,14.498770685886154,14.498299724859503,14.510544711552365,14.556887276574578,14.524626446249155,14.452899081890589
binance_cm_real_000017,2023-06-25,1687673308098,1687673308098,0,long,1,False,,True,time_resolution,1687673339967,30771.8,1687673277907,30784.5,31869,-4.1254527440759885,4.1254527440759885,-0.6807805973649668,4.1405753910947425,-3.590132194595853,5.594131738446537,0.47491071770759063
binance_cm_real_000018,2023-06-25,1687674331386,1687674331386,0,short,1,False,,True,time_resolution,1687674357007,30930.6,1687674298048,30903.8,25621,8.672072690089657,-8.672072690089657,-8.676558641317289,-5.909517843083499,-6.100332297980071,-8.607811438753814,-5.410409528560777
binance_cm_real_000019,2023-06-25,1687674459235,1687674459235,0,short,1,False,,True,time_resolution,1687674476850,30968.8,1687674419030,30947.8,17615,6.785619656324521,-6.785619656324521,-6.776416974090607,-6.767192380708519,-6.764825976705513,-6.251610543471486,-0.4098386361397388
binance_cm_real_000020,2023-06-25,1687677610326,1687677644353,34027,long,2,False,,True,time_resolution,1687677658121,30731.7,1687677598824,30778.7,13768,-15.27030056500112,15.27030056500112,15.255244772216486,15.267766421661133,15.2594683444498,14.652642718564492,16.94034553478658
binance_cm_real_000021,2023-06-25,1687682629185,1687682629185,0,long,1,False,,True,time_resolution,1687682639031,30677.0,1687682575812,30728.2,9846,-16.66221906912892,16.66221906912892,16.67606939954789,16.700619789153283,16.676829809845405,15.614095314673031,16.656190101770076
binance_cm_real_000022,2023-06-25,1687684974232,1687684990493,16261,long,2,False,,False,,1687685039015,30635.3,1687684979992,30626.9,48522,2.742686984316995,-8.650903975826314,-7.050645126912199,0.2262384989877333,0.7449128381721373,-5.417618857348172,-2.7108954081394874
